P1,P2,Weight
0,1,-0.9754447538387843
0,36,-0.9920898777791456
36,1,-0.825324380894448
36,37,-0.5626314572776969
36,72,-0.6502932206720918
72,37,-0.22733238855937335
72,73,0.13325800293494494
72,108,0.008200546232130863
108,73,0.47163900309419615
108,109,0.7465507405254866
108,144,0.645348733126785
144,109,0.9278121165905334
144,145,0.9990743660965135
144,180,0.9798197984769926
180,145,0.9583781360569076
180,181,0.8167446395004195
180,216,0.9051299464269046
216,181,0.5952842402872669
216,217,0.321443020528677
216,252,0.498454155735097
252,217,0.025027553114863536
252,253,-0.26543178618120283
252,288,-0.054582653218462666
288,253,-0.5255670110404838
288,289,-0.7370768134284371
288,324,-0.5600280507891711
324,289,-0.8885959393383666
324,325,-0.9756260054681576
324,360,-0.8885959393383666
360,325,-0.9997279689404037
360,361,-0.9672292556681203
360,396,-0.9997983172814237
396,361,-0.8877040997791343
396,397,-0.7724543148133953
396,432,-0.9251317519324971
432,397,-0.6331631251205632
432,433,-0.48083064303292866
432,468,-0.7327211607038349
468,433,-0.32503776806626433
468,469,-0.17353392020616973
468,504,-0.4942896363745781
504,469,-0.032107451654016614
504,505,0.09532331868196202
504,540,-0.26536458111571254
540,505,0.20646748193779832
540,541,0.300332728313042
540,576,-0.07960581707196279
576,541,0.3768653838158173
576,577,0.436600896591994
576,612,0.04748564066576453
612,577,0.48035282468861057
612,613,0.5089567260364843
612,648,0.11125848478212019
648,613,0.5230766729766912
648,649,0.5230766729766912
648,684,0.11125848478212019
684,649,0.5089567260364843
684,685,0.48035282468861057
684,720,0.04748564066576453
720,685,0.436600896591994
720,721,0.3768653838158173
720,756,-0.07960581707196279
756,721,0.300332728313042
756,757,0.20646748193779832
756,792,-0.26536458111571254
792,757,0.09532331868196202
792,793,-0.032107451654016614
792,828,-0.4942896363745781
828,793,-0.17353392020616973
828,829,-0.32503776806626433
828,864,-0.7327211607038349
864,829,-0.48083064303292866
864,865,-0.6331631251205632
864,900,-0.9251317519324971
900,865,-0.7724543148133953
900,901,-0.8877040997791343
