P1,P2,Weight
0,1,-0.9981341034805156
2,0,-0.9533063523949376
3,2,-0.7877890570749095
4,3,-0.5334838726642068
5,4,-0.2297550545355595
6,5,0.0839083403920204
7,6,0.3738970633083062
8,7,0.6163272119803838
9,8,0.7984871126234903
10,9,0.9181643334635528
11,10,0.9814798511409966
12,11,0.9999914501190752
13,12,0.9877664589825208
14,13,0.9589249443447918
15,14,0.925898437284414
16,15,0.8984115613773841
17,16,0.8830276192531095
18,17,0.8830276192531095
19,18,0.8984115613773841
20,19,0.925898437284414
21,20,0.9589249443447918
22,21,0.9877664589825208
23,22,0.9999914501190752
24,23,0.9814798511409966
25,24,0.9181643334635528
26,25,0.7984871126234903
27,26,0.6163272119803838
28,27,0.3738970633083062
29,28,0.0839083403920204
30,29,-0.2297550545355595
31,30,-0.5334838726642068
32,31,-0.7877890570749095
33,32,-0.9533063523949376
34,1,-0.9995584471545887
35,34,-0.87969575997167
36,2,-0.7071865412769704
36,35,-0.6342949941088823
37,36,-0.3042806746109479
38,4,-0.0751511204618093
38,37,0.0572496441321156
39,38,0.3994343662553819
40,6,0.5470825314519259
40,39,0.6817135162782886
41,40,0.8786996699526517
42,8,0.9181643334635528
42,41,0.9814798511409962
43,42,0.9957806905528952
44,10,0.995780690552895
44,43,0.9379999767747388
45,44,0.8303492934724779
46,12,0.8830276192531098
46,45,0.6962663768365805
47,46,0.5569244681683874
48,14,0.7212035240830521
48,47,0.4292179343260667
49,48,0.3251713981320959
50,16,0.6155129809391914
50,49,0.252403239030284
51,50,0.2151199880878155
52,18,0.6155129809391914
52,51,0.2151199880878155
53,52,0.252403239030284
54,20,0.7212035240830521
54,53,0.3251713981320959
55,54,0.4292179343260667
56,22,0.8830276192531098
56,55,0.5569244681683874
57,56,0.6962663768365805
58,24,0.995780690552895
58,57,0.8303492934724779
59,58,0.9379999767747388
60,26,0.9181643334635528
60,59,0.9957806905528952
61,60,0.9814798511409962
62,28,0.5470825314519259
62,61,0.8786996699526517
63,62,0.6817135162782886
64,30,-0.0751511204618093
64,63,0.3994343662553819
65,64,0.0572496441321156
