P1,P2,Weight
199,51,-0.9995584471545887
171,202,-0.9983584016829592
204,171,-0.9983584016829592
179,230,-0.9983584016829592
175,226,-0.9983584016829592
176,229,-0.9983584016829592
232,181,-0.9983584016829592
163,206,-0.9983584016829592
163,210,-0.9983584016829592
164,209,-0.9983584016829592
213,164,-0.9983584016829592
183,234,-0.9983584016829592
237,184,-0.9983584016829592
187,238,-0.9983584016829592
241,188,-0.9983584016829592
167,214,-0.9983584016829592
217,168,-0.9983584016829592
218,167,-0.9983584016829592
221,168,-0.9983584016829592
190,243,-0.9983584016829592
249,196,-0.9983584016829592
244,193,-0.9983584016829592
172,223,-0.9983584016829592
225,172,-0.9983584016829592
247,194,-0.9983584016829592
137,51,-0.9981341034805156
202,113,-0.9940178111289956
115,204,-0.9940178111289956
117,206,-0.9940178111289956
209,118,-0.9940178111289956
121,210,-0.9940178111289956
122,213,-0.9940178111289956
214,125,-0.9940178111289956
217,126,-0.9940178111289956
129,218,-0.9940178111289956
221,130,-0.9940178111289956
223,132,-0.9940178111289956
134,225,-0.9940178111289956
113,254,-0.977603638465729
256,115,-0.977603638465729
117,258,-0.977603638465729
118,261,-0.977603638465729
121,262,-0.977603638465729
265,122,-0.977603638465729
125,266,-0.977603638465729
269,126,-0.977603638465729
270,129,-0.977603638465729
273,130,-0.977603638465729
132,275,-0.977603638465729
277,134,-0.977603638465729
175,179,-0.977530117665097
181,176,-0.977530117665097
187,183,-0.977530117665097
188,184,-0.977530117665097
193,190,-0.977530117665097
196,194,-0.977530117665097
295,113,-0.9642251281632545
296,115,-0.9642251281632545
279,117,-0.9642251281632545
118,281,-0.9642251281632545
283,121,-0.9642251281632545
122,284,-0.9642251281632545
287,125,-0.9642251281632545
126,288,-0.9642251281632545
290,129,-0.9642251281632545
130,292,-0.9642251281632545
132,299,-0.9642251281632545
134,300,-0.9642251281632545
303,137,-0.9533063523949376
138,305,-0.9533063523949376
254,226,-0.9351702861596852
229,256,-0.9351702861596852
230,258,-0.9351702861596852
261,232,-0.9351702861596852
234,262,-0.9351702861596852
237,265,-0.9351702861596852
266,238,-0.9351702861596852
269,241,-0.9351702861596852
243,270,-0.9351702861596852
273,249,-0.9351702861596852
275,244,-0.9351702861596852
162,163,-0.9278232527433043
164,165,-0.9278232527433043
166,167,-0.9278232527433043
168,169,-0.9278232527433043
170,171,-0.927823252743304
172,173,-0.927823252743304
341,175,-0.9045867109767788
176,343,-0.9045867109767788
325,179,-0.9045867109767788
326,181,-0.9045867109767788
329,183,-0.9045867109767788
184,330,-0.9045867109767788
333,187,-0.9045867109767788
188,334,-0.9045867109767788
190,337,-0.9045867109767788
344,193,-0.9045867109767788
194,346,-0.9045867109767788
196,338,-0.9045867109767788
349,199,-0.87969575997167
352,201,-0.87969575997167
202,356,-0.8738337560726113
204,359,-0.8738337560726113
206,360,-0.8738337560726113
362,209,-0.8738337560726113
210,364,-0.8738337560726113
367,213,-0.8738337560726113
214,368,-0.8738337560726113
371,217,-0.8738337560726113
218,373,-0.8738337560726113
375,221,-0.8738337560726113
376,223,-0.8738337560726113
379,225,-0.8738337560726113
226,394,-0.8496696124064033
396,229,-0.8496696124064033
230,392,-0.8496696124064033
232,399,-0.8496696124064033
234,400,-0.8496696124064033
403,237,-0.8496696124064033
238,404,-0.8496696124064033
407,241,-0.8496696124064033
408,243,-0.8496696124064033
244,413,-0.8496696124064033
415,247,-0.8496696124064033
411,249,-0.8496696124064033
381,303,-0.7877890570749095
305,382,-0.7877890570749095
254,416,-0.7674527255292299
256,419,-0.7674527255292299
258,420,-0.7674527255292299
422,261,-0.7674527255292299
262,424,-0.7674527255292299
427,265,-0.7674527255292299
266,428,-0.7674527255292299
431,269,-0.7674527255292299
270,433,-0.7674527255292299
435,273,-0.7674527255292299
436,275,-0.7674527255292299
439,277,-0.7674527255292299
441,279,-0.7359266586191393
442,281,-0.7359266586191393
445,283,-0.7359266586191393
284,446,-0.7359266586191393
449,287,-0.7359266586191393
288,450,-0.7359266586191393
290,453,-0.7359266586191393
292,454,-0.7359266586191393
457,295,-0.735926658619139
296,459,-0.735926658619139
460,299,-0.735926658619139
300,462,-0.735926658619139
465,303,-0.7071865412769704
466,305,-0.7071865412769704
351,466,-0.6342949941088823
469,352,-0.6342949941088823
354,470,-0.6342949941088823
476,356,-0.6039688631641295
360,478,-0.6039688631641295
481,362,-0.6039688631641295
482,368,-0.6039688631641295
485,371,-0.6039688631641295
487,376,-0.6039688631641295
525,325,-0.5918278363708653
326,527,-0.5918278363708653
529,329,-0.5918278363708653
330,530,-0.5918278363708653
533,333,-0.5918278363708653
334,534,-0.5918278363708653
536,337,-0.5918278363708653
338,542,-0.5918278363708653
521,341,-0.591827836370865
522,343,-0.591827836370865
344,539,-0.591827836370865
346,540,-0.591827836370865
489,349,-0.5750391407209322
490,351,-0.5750391407209322
352,493,-0.5750391407209322
354,494,-0.5750391407209322
356,496,-0.5681672268584413
498,359,-0.5681672268584413
360,500,-0.5681672268584413
362,503,-0.5681672268584413
364,504,-0.5681672268584413
507,367,-0.5681672268584413
368,508,-0.5681672268584413
511,371,-0.5681672268584413
512,373,-0.5681672268584413
515,375,-0.5681672268584413
376,517,-0.5681672268584413
519,379,-0.5681672268584413
549,381,-0.5334838726642068
382,551,-0.5334838726642068
489,389,-0.5334838726642068
493,390,-0.5334838726642068
545,389,-0.5121202140244393
390,547,-0.5121202140244393
392,556,-0.494191001163918
394,552,-0.494191001163918
396,555,-0.494191001163918
558,399,-0.494191001163918
400,560,-0.494191001163918
563,403,-0.494191001163918
404,564,-0.494191001163918
567,407,-0.494191001163918
408,569,-0.494191001163918
575,411,-0.494191001163918
570,413,-0.494191001163918
573,415,-0.494191001163918
416,596,-0.3785898330448362
598,419,-0.3785898330448362
420,600,-0.3785898330448362
422,603,-0.3785898330448362
424,604,-0.3785898330448362
607,427,-0.3785898330448362
428,608,-0.3785898330448362
611,431,-0.3785898330448362
612,433,-0.3785898330448362
615,435,-0.3785898330448362
436,617,-0.3785898330448362
619,439,-0.3785898330448362
587,441,-0.3507832276896198
442,589,-0.3507832276896198
444,445,-0.3507832276896198
446,447,-0.3507832276896198
591,449,-0.3507832276896198
450,592,-0.3507832276896198
452,453,-0.3507832276896198
454,455,-0.3507832276896198
585,457,-0.3507832276896194
458,459,-0.3507832276896194
460,595,-0.3507832276896194
462,463,-0.3507832276896194
621,465,-0.3042806746109479
466,623,-0.3042806746109479
624,469,-0.3042806746109479
470,626,-0.3042806746109479
581,549,-0.2297550545355595
551,582,-0.2297550545355595
476,631,-0.2192127099952987
478,634,-0.2192127099952987
639,481,-0.2192127099952987
482,645,-0.2192127099952987
647,485,-0.2192127099952987
651,487,-0.2192127099952987
657,489,-0.1532379238071421
490,659,-0.1532379238071421
664,493,-0.1532379238071421
494,666,-0.1532379238071421
496,680,-0.1386344768643796
498,683,-0.1386344768643796
500,684,-0.1386344768643796
686,503,-0.1386344768643796
504,688,-0.1386344768643796
691,507,-0.1386344768643796
508,692,-0.1386344768643796
695,511,-0.1386344768643796
512,697,-0.1386344768643796
699,515,-0.1386344768643796
700,517,-0.1386344768643796
703,519,-0.1386344768643796
707,521,-0.136697264333464
522,709,-0.136697264333464
705,525,-0.136697264333464
710,527,-0.136697264333464
713,529,-0.136697264333464
530,714,-0.136697264333464
717,533,-0.136697264333464
534,718,-0.136697264333464
536,721,-0.136697264333464
724,539,-0.136697264333464
540,726,-0.136697264333464
542,722,-0.136697264333464
671,545,-0.1013272832602712
674,547,-0.1013272832602712
733,549,-0.0751511204618093
734,551,-0.0751511204618093
552,742,-0.0182022588233763
744,555,-0.0182022588233763
556,740,-0.0182022588233763
558,747,-0.0182022588233763
560,748,-0.0182022588233763
751,563,-0.0182022588233763
564,752,-0.0182022588233763
755,567,-0.0182022588233763
756,569,-0.0182022588233763
570,761,-0.0182022588233763
763,573,-0.0182022588233763
759,575,-0.0182022588233763
737,624,0.0572496441321156
626,738,0.0572496441321156
787,581,0.0839083403920204
582,789,0.0839083403920204
775,585,0.1000437467937017
777,587,0.1000437467937017
778,589,0.1000437467937017
781,591,0.1000437467937017
592,782,0.1000437467937017
784,595,0.1000437467937017
596,790,0.1002188341819074
598,793,0.1002188341819074
600,794,0.1002188341819074
796,603,0.1002188341819074
604,798,0.1002188341819074
801,607,0.1002188341819074
608,802,0.1002188341819074
805,611,0.1002188341819074
612,807,0.1002188341819074
809,615,0.1002188341819074
810,617,0.1002188341819074
813,619,0.1002188341819074
815,621,0.163905468572637
816,623,0.163905468572637
624,823,0.163905468572637
626,824,0.163905468572637
631,826,0.2151199880878155
828,631,0.2151199880878155
634,830,0.2151199880878155
634,834,0.2151199880878155
639,833,0.2151199880878155
837,639,0.2151199880878155
645,838,0.2151199880878155
841,647,0.2151199880878155
842,645,0.2151199880878155
845,647,0.2151199880878155
651,649,0.2151199880878155
650,651,0.2151199880878155
819,661,0.2435244837393342
663,821,0.2435244837393342
851,657,0.2961259884689873
852,659,0.2961259884689873
855,661,0.2961259884689873
863,663,0.2961259884689873
664,867,0.2961259884689873
666,868,0.2961259884689873
673,852,0.3222215451127417
855,671,0.3222215451127417
856,673,0.3222215451127417
674,863,0.3222215451127417
678,864,0.3222215451127417
678,868,0.3222215451127417
680,874,0.3251713981320959
876,683,0.3251713981320959
684,878,0.3251713981320959
686,881,0.3251713981320959
688,882,0.3251713981320959
885,691,0.3251713981320959
692,886,0.3251713981320959
889,695,0.3251713981320959
890,697,0.3251713981320959
893,699,0.3251713981320959
700,701,0.3251713981320959
702,703,0.3251713981320959
899,705,0.3501305500284013
895,707,0.3501305500284013
896,709,0.3501305500284013
710,901,0.3501305500284013
903,713,0.3501305500284013
714,904,0.3501305500284013
907,717,0.3501305500284013
718,908,0.3501305500284013
910,721,0.3501305500284013
722,916,0.3501305500284013
724,913,0.3501305500284013
726,914,0.3501305500284013
847,787,0.3738970633083062
789,848,0.3738970633083062
931,733,0.3994343662553819
734,933,0.3994343662553819
938,737,0.3994343662553819
738,940,0.3994343662553819
740,952,0.4623904909451666
742,948,0.4623904909451666
744,951,0.4623904909451666
954,747,0.4623904909451666
748,956,0.4623904909451666
959,751,0.4623904909451666
752,960,0.4623904909451666
963,755,0.4623904909451666
756,965,0.4623904909451666
971,759,0.4623904909451666
966,761,0.4623904909451666
969,763,0.4623904909451666
920,918,0.4794255386042029
923,920,0.4794255386042029
929,924,0.4794255386042029
927,929,0.4794255386042029
924,918,0.479425538604203
774,775,0.5171488897344491
776,777,0.5171488897344491
778,779,0.5171488897344491
780,781,0.5171488897344491
782,783,0.5171488897344491
784,785,0.5171488897344491
981,787,0.5470825314519259
982,789,0.5470825314519259
790,994,0.5569244681683874
996,793,0.5569244681683874
794,998,0.5569244681683874
796,1001,0.5569244681683874
798,1006,0.5569244681683874
1009,801,0.5569244681683874
802,1010,0.5569244681683874
1013,805,0.5569244681683874
1018,807,0.5569244681683874
1021,809,0.5569244681683874
810,811,0.5569244681683874
812,813,0.5569244681683874
1023,815,0.5936443924712849
816,1025,0.5936443924712849
1027,819,0.5936443924712849
1031,821,0.5936443924712849
1034,823,0.5936443924712849
824,1036,0.5936443924712849
826,1038,0.6155129809391914
828,1041,0.6155129809391914
830,1042,0.6155129809391914
1044,833,0.6155129809391914
834,1046,0.6155129809391914
1049,837,0.6155129809391914
838,1050,0.6155129809391914
1053,841,0.6155129809391914
842,1055,0.6155129809391914
1057,845,0.6155129809391914
1063,847,0.6163272119803838
848,1065,0.6163272119803838
1075,851,0.6817135162782886
852,1077,0.6817135162782886
854,855,0.6817135162782886
856,1067,0.6817135162782886
985,935,0.6817135162782886
937,987,0.6817135162782886
1079,863,0.6817135162782886
864,1080,0.6817135162782886
866,867,0.6817135162782886
868,869,0.6817135162782886
989,938,0.6817135162782886
940,990,0.6817135162782886
874,1082,0.7212035240830521
876,1085,0.7212035240830521
878,1086,0.7212035240830527
1088,881,0.7212035240830527
882,1090,0.7212035240830527
1093,885,0.7212035240830527
886,1094,0.7212035240830527
1097,889,0.7212035240830527
890,1099,0.7212035240830527
1101,893,0.7212035240830527
894,895,0.7514815371342608
896,897,0.7514815371342608
1127,899,0.7514815371342608
900,901,0.7514815371342608
902,903,0.7514815371342608
904,905,0.7514815371342608
906,907,0.7514815371342608
908,909,0.7514815371342608
910,911,0.7514815371342608
912,913,0.7514815371342608
914,915,0.7514815371342608
916,917,0.7514815371342608
918,1108,0.7617599814162892
920,1105,0.7617599814162892
1113,923,0.7617599814162892
924,1119,0.7617599814162892
1125,927,0.7617599814162892
1123,929,0.7617599814162892
1129,931,0.7804697960020524
1130,933,0.7804697960020524
972,935,0.7804697960020524
977,937,0.7804697960020524
938,939,0.7804697960020524
940,941,0.7804697960020524
1059,1063,0.7984871126234903
1065,1060,0.7984871126234903
1071,1069,0.7984871126234903
948,949,0.8303492934724779
950,951,0.8303492934724779
952,953,0.8303492934724779
954,955,0.8303492934724779
956,957,0.8303492934724779
1151,959,0.8303492934724779
960,961,0.8303492934724779
1153,963,0.8303492934724779
964,965,0.8303492934724779
966,967,0.8303492934724779
968,969,0.8303492934724779
970,971,0.8303492934724779
972,1027,0.8486754940427508
974,1028,0.8486754940427508
1031,977,0.8486754940427508
1032,1140,0.8486754940427508
980,981,0.8786996699526517
982,983,0.8786996699526517
1133,985,0.8786996699526517
1136,987,0.8786996699526517
1143,989,0.8786996699526517
990,1144,0.8786996699526517
992,1038,0.8830276192531095
994,995,0.8830276192531098
996,997,0.8830276192531098
998,999,0.8830276192531098
1000,1001,0.8830276192531098
1042,1003,0.8830276192531098
1004,1044,0.8830276192531098
1006,1007,0.8830276192531098
1008,1009,0.8830276192531098
1010,1011,0.8830276192531098
1012,1013,0.8830276192531098
1014,1050,0.8830276192531098
1016,1053,0.8830276192531098
1018,1019,0.8830276192531098
1020,1021,0.8830276192531098
1022,1023,0.8926180020541369
1024,1025,0.8926180020541369
1026,1027,0.8926180020541369
1028,1066,0.8926180020541369
1030,1031,0.8926180020541369
1032,1073,0.8926180020541369
1034,1035,0.8926180020541369
1036,1037,0.8926180020541369
1038,1039,0.8984115613773841
1040,1041,0.8984115613773841
1042,1043,0.8984115613773844
1044,1045,0.8984115613773844
1046,1047,0.8984115613773844
1048,1049,0.8984115613773844
1050,1051,0.8984115613773844
1052,1053,0.8984115613773844
1054,1055,0.8984115613773844
1056,1057,0.8984115613773844
1147,1059,0.9181643334635528
1060,1148,0.9181643334635528
1062,1063,0.9181643334635528
1064,1065,0.9181643334635528
1066,1067,0.9181643334635528
1132,1069,0.9181643334635528
1137,1071,0.9181643334635528
1080,1073,0.9181643334635528
1074,1075,0.9297521640155444
1076,1077,0.9297521640155444
1078,1079,0.9297521640155444
1080,1081,0.9297521640155444
1082,1083,0.9589249443447918
1084,1085,0.9589249443447918
1086,1128,0.958924944344792
1088,1131,0.958924944344792
1090,1091,0.958924944344792
1092,1093,0.958924944344792
1094,1095,0.958924944344792
1141,1097,0.958924944344792
1098,1099,0.958924944344792
1100,1101,0.958924944344792
1105,1103,0.9694247609041736
1104,1105,0.9694247609041736
1108,1126,0.9694247609041736
1108,1109,0.9694247609041736
1113,1111,0.9694247609041736
1112,1113,0.9694247609041736
1119,1115,0.9694247609041736
1116,1125,0.9694247609041736
1118,1119,0.9694247609041736
1123,1121,0.9694247609041736
1122,1123,0.9694247609041736
1124,1125,0.9694247609041736
1126,1127,0.9732132496422036
1128,1129,0.9814798511409962
1130,1131,0.9814798511409962
1132,1133,0.9814798511409962
1150,1135,0.9814798511409962
1136,1137,0.9814798511409962
1138,1152,0.9814798511409962
1140,1141,0.9814798511409962
1142,1143,0.9814798511409962
1144,1145,0.9814798511409962
1146,1147,0.9814798511409966
1148,1149,0.9814798511409966
1150,1151,0.9957806905528952
1152,1153,0.9957806905528952
