Node Number,X,Y,Z,Weight
0,-18.0,-15.588457268119894,0,-0.9689577057126789
1,-17.5,-14.722431864335457,0,-0.7694915699834977
2,-18.0,-13.856406460551018,0,-0.662749733814899
3,-17.5,-12.990381056766578,0,0.19538878219615138
4,-18.0,-12.12435565298214,0,0.2846239791242645
5,-17.5,-11.258330249197702,0,0.9255541197058049
6,-18.0,-10.392304845413264,0,0.934388558984583
7,-17.5,-9.526279441628825,0,0.8797342206140176
8,-18.0,-8.660254037844386,0,0.9024522419217371
9,-17.5,-7.794228634059947,0,0.30285616046534564
10,-18.0,-6.928203230275509,0,0.42389871266939905
11,-17.5,-6.06217782649107,0,-0.3233776384465223
12,-18.0,-5.196152422706632,0,-0.11431149731170234
13,-17.5,-4.330127018922193,0,-0.7323723324376428
14,-18.0,-3.4641016151377544,0,-0.4962318613809222
15,-17.5,-2.598076211353316,0,-0.9159022382375784
16,-18.0,-1.7320508075688772,0,-0.6935567738809054
17,-17.5,-0.8660254037844386,0,-0.97070324181809
18,-18.0,0.0,0,-0.7509872467716762
19,-17.5,0.8660254037844386,0,-0.97070324181809
20,-18.0,1.7320508075688772,0,-0.6935567738809054
21,-17.5,2.598076211353316,0,-0.9159022382375784
22,-18.0,3.4641016151377544,0,-0.4962318613809222
23,-17.5,4.330127018922193,0,-0.7323723324376428
24,-18.0,5.196152422706632,0,-0.11431149731170234
25,-17.5,6.06217782649107,0,-0.3233776384465223
26,-18.0,6.928203230275509,0,0.42389871266939905
27,-17.5,7.794228634059947,0,0.30285616046534564
28,-18.0,8.660254037844386,0,0.9024522419217371
29,-17.5,9.526279441628825,0,0.8797342206140176
30,-18.0,10.392304845413264,0,0.934388558984583
31,-17.5,11.258330249197702,0,0.9255541197058049
32,-18.0,12.12435565298214,0,0.2846239791242645
33,-17.5,12.990381056766578,0,0.19538878219615138
34,-18.0,13.856406460551018,0,-0.662749733814899
35,-17.5,14.722431864335457,0,-0.7694915699834977
36,-17.0,-15.588457268119894,0,-0.8791028322971749
37,-16.5,-14.722431864335457,0,-0.12189193841656394
38,-17.0,-13.856406460551018,0,0.0594013868715
39,-16.5,-12.990381056766578,0,0.8366556385360561
40,-17.0,-12.12435565298214,0,0.8959366989404217
41,-16.5,-11.258330249197702,0,0.9024522419217371
42,-17.0,-10.392304845413264,0,0.8797342206140176
43,-16.5,-9.526279441628825,0,0.20161153300951468
44,-17.0,-8.660254037844386,0,0.22722588922391757
45,-16.5,-7.794228634059947,0,-0.565688817406875
46,-17.0,-6.928203230275509,0,-0.4723862364856837
47,-16.5,-6.06217782649107,0,-0.955443925380104
48,-17.0,-5.196152422706632,0,-0.8787166975428047
49,-16.5,-4.330127018922193,0,-0.9758892681958303
50,-17.0,-3.4641016151377544,0,-0.9975094208281222
51,-16.5,-2.598076211353316,0,-0.8389385087830656
52,-17.0,-1.7320508075688772,0,-0.9818619158392312
53,-16.5,-0.8660254037844386,0,-0.7275529931805939
54,-17.0,0.0,0,-0.9613974918795568
55,-16.5,0.8660254037844386,0,-0.7275529931805939
56,-17.0,1.7320508075688772,0,-0.9818619158392312
57,-16.5,2.598076211353316,0,-0.8389385087830656
58,-17.0,3.4641016151377544,0,-0.9975094208281222
59,-16.5,4.330127018922193,0,-0.9758892681958303
60,-17.0,5.196152422706632,0,-0.8787166975428047
61,-16.5,6.06217782649107,0,-0.955443925380104
62,-17.0,6.928203230275509,0,-0.4723862364856837
63,-16.5,7.794228634059947,0,-0.565688817406875
64,-17.0,8.660254037844386,0,0.22722588922391757
65,-16.5,9.526279441628825,0,0.20161153300951468
66,-17.0,10.392304845413264,0,0.8797342206140176
67,-16.5,11.258330249197702,0,0.9024522419217371
68,-17.0,12.12435565298214,0,0.8959366989404217
69,-16.5,12.990381056766578,0,0.8366556385360561
70,-17.0,13.856406460551018,0,0.0594013868715
71,-16.5,14.722431864335457,0,-0.12189193841656394
72,-16.0,-15.588457268119894,0,-0.3402279783161758
73,-15.5,-14.722431864335457,0,0.5758065019122222
74,-16.0,-13.856406460551018,0,0.734641474875449
75,-15.5,-12.990381056766578,0,0.9807356389159875
76,-16.0,-12.12435565298214,0,0.940908827942132
77,-15.5,-11.258330249197702,0,0.30285616046534564
78,-16.0,-10.392304845413264,0,0.22722588922391757
79,-15.5,-9.526279441628825,0,-0.6100712597402699
80,-16.0,-8.660254037844386,0,-0.6100712597402699
81,-15.5,-7.794228634059947,0,-0.9975094208281222
82,-16.0,-6.928203230275509,0,-0.9877263958054626
83,-15.5,-6.06217782649107,0,-0.8048090667832768
84,-16.0,-5.196152422706632,0,-0.8977525182584913
85,-15.5,-4.330127018922193,0,-0.37603515710388474
86,-16.0,-3.4641016151377544,0,-0.6152809204922437
87,-15.5,-2.598076211353316,0,-0.008270283271942394
88,-16.0,-1.7320508075688772,0,-0.37603515710388474
89,-15.5,-0.8660254037844386,0,0.18275564204117561
90,-16.0,0.0,0,-0.2879033166650653
91,-15.5,0.8660254037844386,0,0.18275564204117561
92,-16.0,1.7320508075688772,0,-0.37603515710388474
93,-15.5,2.598076211353316,0,-0.008270283271942394
94,-16.0,3.4641016151377544,0,-0.6152809204922437
95,-15.5,4.330127018922193,0,-0.37603515710388474
96,-16.0,5.196152422706632,0,-0.8977525182584913
97,-15.5,6.06217782649107,0,-0.8048090667832768
98,-16.0,6.928203230275509,0,-0.9877263958054626
99,-15.5,7.794228634059947,0,-0.9975094208281222
100,-16.0,8.660254037844386,0,-0.6100712597402699
101,-15.5,9.526279441628825,0,-0.6100712597402699
102,-16.0,10.392304845413264,0,0.22722588922391757
103,-15.5,11.258330249197702,0,0.30285616046534564
104,-16.0,12.12435565298214,0,0.940908827942132
105,-15.5,12.990381056766578,0,0.9807356389159875
106,-16.0,13.856406460551018,0,0.734641474875449
107,-15.5,14.722431864335457,0,0.5758065019122222
108,-15.0,-15.588457268119894,0,0.3502527398419366
109,-14.5,-14.722431864335457,0,0.9704696642761488
110,-15.0,-13.856406460551018,0,0.9999999745504412
111,-14.5,-12.990381056766578,0,0.5797048440907525
112,-15.0,-12.12435565298214,0,0.42389871266939905
113,-14.5,-11.258330249197702,0,-0.4723862364856837
114,-15.0,-10.392304845413264,0,-0.565688817406875
115,-14.5,-9.526279441628825,0,-0.9975094208281222
116,-15.0,-8.660254037844386,0,-0.9991286587380726
117,-14.5,-7.794228634059947,0,-0.6846434173704641
118,-15.0,-6.928203230275509,0,-0.7275529931805939
119,-14.5,-6.06217782649107,0,-0.008270283271942394
120,-15.0,-5.196152422706632,0,-0.16577575470081526
121,-14.5,-4.330127018922193,0,0.5440171490365727
122,-15.0,-3.4641016151377544,0,0.30806548311451204
123,-14.5,-2.598076211353316,0,0.8288468531038243
124,-15.0,-1.7320508075688772,0,0.5714686337356
125,-14.5,-0.8660254037844386,0,0.9254130944879525
126,-15.0,0.0,0,0.6502878401571168
127,-14.5,0.8660254037844386,0,0.9254130944879525
128,-15.0,1.7320508075688772,0,0.5714686337356
129,-14.5,2.598076211353316,0,0.8288468531038243
130,-15.0,3.4641016151377544,0,0.30806548311451204
131,-14.5,4.330127018922193,0,0.5440171490365727
132,-15.0,5.196152422706632,0,-0.16577575470081526
133,-14.5,6.06217782649107,0,-0.008270283271942394
134,-15.0,6.928203230275509,0,-0.7275529931805939
135,-14.5,7.794228634059947,0,-0.6846434173704641
136,-15.0,8.660254037844386,0,-0.9991286587380726
137,-14.5,9.526279441628825,0,-0.9975094208281222
138,-15.0,10.392304845413264,0,-0.565688817406875
139,-14.5,11.258330249197702,0,-0.4723862364856837
140,-15.0,12.12435565298214,0,0.42389871266939905
141,-14.5,12.990381056766578,0,0.5797048440907525
142,-15.0,13.856406460551018,0,0.9999999745504412
143,-14.5,14.722431864335457,0,0.9704696642761488
144,-14.0,-15.588457268119894,0,0.8618071673169938
145,-13.5,-14.722431864335457,0,0.9024522419217371
146,-14.0,-13.856406460551018,0,0.7500645547914181
147,-13.5,-12.990381056766578,0,-0.11431149731170234
148,-14.0,-12.12435565298214,0,-0.3233776384465223
149,-13.5,-11.258330249197702,0,-0.955443925380104
150,-14.0,-10.392304845413264,0,-0.9877263958054626
151,-13.5,-9.526279441628825,0,-0.7275529931805939
152,-14.0,-8.660254037844386,0,-0.6846434173704641
153,-13.5,-7.794228634059947,0,0.11922174506600079
154,-14.0,-6.928203230275509,0,0.08735244321299503
155,-13.5,-6.06217782649107,0,0.7890829426997209
156,-14.0,-5.196152422706632,0,0.6995579889100169
157,-13.5,-4.330127018922193,0,0.9991888729915472
158,-14.0,-3.4641016151377544,0,0.9596509227929731
159,-13.5,-2.598076211353316,0,0.9251218748966521
160,-14.0,-1.7320508075688772,0,0.9995370140218665
161,-13.5,-0.8660254037844386,0,0.8199814694989864
162,-14.0,0.0,0,0.9906073556948704
163,-13.5,0.8660254037844386,0,0.8199814694989864
164,-14.0,1.7320508075688772,0,0.9995370140218665
165,-13.5,2.598076211353316,0,0.9251218748966521
166,-14.0,3.4641016151377544,0,0.9596509227929731
167,-13.5,4.330127018922193,0,0.9991888729915472
168,-14.0,5.196152422706632,0,0.6995579889100169
169,-13.5,6.06217782649107,0,0.7890829426997209
170,-14.0,6.928203230275509,0,0.08735244321299503
171,-13.5,7.794228634059947,0,0.11922174506600079
172,-14.0,8.660254037844386,0,-0.6846434173704641
173,-13.5,9.526279441628825,0,-0.7275529931805939
174,-14.0,10.392304845413264,0,-0.9877263958054626
175,-13.5,11.258330249197702,0,-0.955443925380104
176,-14.0,12.12435565298214,0,-0.3233776384465223
177,-13.5,12.990381056766578,0,-0.11431149731170234
178,-14.0,13.856406460551018,0,0.7500645547914181
179,-13.5,14.722431864335457,0,0.9024522419217371
