Node Number,X,Y,Z,Weight
0,-8.0,-7.505553499465134,0.0,-0.9996641170410768
1,-8.5,-7.216878364870321,0.0,-0.9880251893040296
2,-7.5,-7.216878364870321,0.0,-0.8324706916108731
3,-7.0,-7.505553499465134,0.0,-0.7435908881199217
4,-6.5,-7.216878364870321,0.0,-0.2838020663263781
5,-6.0,-7.505553499465134,0.0,-0.183204930714242
6,-5.5,-7.216878364870321,0.0,0.3438428633026369
7,-5.0,-7.505553499465134,0.0,0.3951934692180101
8,-4.5,-7.216878364870321,0.0,0.7955273481733803
9,-4.0,-7.505553499465134,0.0,0.7955273481733803
10,-3.5,-7.216878364870321,0.0,0.9861170115889202
11,-3.0,-7.505553499465134,0.0,0.9739115584244272
12,-2.5,-7.216878364870321,0.0,0.976686309531283
13,-2.0,-7.505553499465134,0.0,0.99625877312685
14,-1.5,-7.216878364870321,0.0,0.8856674334417151
15,-1.0,-7.505553499465134,0.0,0.9604719039070566
16,-0.5,-7.216878364870321,0.0,0.8139926167371255
17,0.0,-7.505553499465134,0.0,0.9399105413732364
18,0.5,-7.216878364870321,0.0,0.8139926167371255
19,1.0,-7.505553499465134,0.0,0.9604719039070566
20,1.5,-7.216878364870321,0.0,0.8856674334417151
21,2.0,-7.505553499465134,0.0,0.99625877312685
22,2.5,-7.216878364870321,0.0,0.976686309531283
23,3.0,-7.505553499465134,0.0,0.9739115584244272
24,3.5,-7.216878364870321,0.0,0.9861170115889202
25,4.0,-7.505553499465134,0.0,0.7955273481733803
26,4.5,-7.216878364870321,0.0,0.7955273481733803
27,5.0,-7.505553499465134,0.0,0.3951934692180101
28,5.5,-7.216878364870321,0.0,0.3438428633026369
29,6.0,-7.505553499465134,0.0,-0.183204930714242
30,6.5,-7.216878364870321,0.0,-0.2838020663263781
31,7.0,-7.505553499465134,0.0,-0.7435908881199217
32,7.5,-7.216878364870321,0.0,-0.8324706916108731
33,8.0,-7.505553499465134,0.0,-0.9996641170410768
34,-8.5,-6.639528095680696,0.0,-0.9780765101158948
35,-8.0,-6.3508529610858835,0.0,-0.7100653425729437
36,-7.5,-6.639528095680696,0.0,-0.5579179251017381
37,-7.0,-6.3508529610858835,0.0,-0.0268500645373203
38,-6.5,-6.639528095680696,0.0,0.1328111473399396
39,-6.0,-6.3508529610858835,0.0,0.6349030390711875
40,-5.5,-6.639528095680696,0.0,0.7195123317004269
41,-5.0,-6.3508529610858835,0.0,0.973911558424427
42,-4.5,-6.639528095680696,0.0,0.9861170115889198
43,-4.0,-6.3508529610858835,0.0,0.9399105413732366
44,-3.5,-6.639528095680696,0.0,0.9399105413732366
45,-3.0,-6.3508529610858835,0.0,0.6747189599516226
46,-2.5,-6.639528095680696,0.0,0.7252611098245162
47,-2.0,-6.3508529610858835,0.0,0.366405412353485
48,-1.5,-6.639528095680696,0.0,0.500065126100664
49,-1.0,-6.3508529610858835,0.0,0.1453979650238495
50,-0.5,-6.639528095680696,0.0,0.366405412353485
51,0.0,-6.3508529610858835,0.0,0.0676160250294372
52,0.5,-6.639528095680696,0.0,0.366405412353485
53,1.0,-6.3508529610858835,0.0,0.1453979650238495
54,1.5,-6.639528095680696,0.0,0.500065126100664
55,2.0,-6.3508529610858835,0.0,0.366405412353485
56,2.5,-6.639528095680696,0.0,0.7252611098245162
57,3.0,-6.3508529610858835,0.0,0.6747189599516226
58,3.5,-6.639528095680696,0.0,0.9399105413732366
59,4.0,-6.3508529610858835,0.0,0.9399105413732366
60,4.5,-6.639528095680696,0.0,0.9861170115889198
61,5.0,-6.3508529610858835,0.0,0.973911558424427
62,5.5,-6.639528095680696,0.0,0.7195123317004269
63,6.0,-6.3508529610858835,0.0,0.6349030390711875
64,6.5,-6.639528095680696,0.0,0.1328111473399396
65,7.0,-6.3508529610858835,0.0,-0.0268500645373203
66,7.5,-6.639528095680696,0.0,-0.5579179251017381
67,8.0,-6.3508529610858835,0.0,-0.7100653425729437
68,-8.0,-5.773502691896257,0.0,-0.4268329381289483
69,-8.5,-5.484827557301444,0.0,-0.6374745282184208
70,-7.5,-5.484827557301444,0.0,0.1328111473399414
71,-7.0,-5.773502691896257,0.0,0.3438428633026369
72,-6.5,-5.484827557301444,0.0,0.7955273481733803
73,-6.0,-5.773502691896257,0.0,0.8903502763850095
74,-5.5,-5.484827557301444,0.0,0.9962587731268502
75,-5.0,-5.773502691896257,0.0,0.9766863095312832
76,-4.5,-5.484827557301444,0.0,0.7252611098245162
77,-4.0,-5.773502691896257,0.0,0.6747189599516219
78,-3.5,-5.484827557301444,0.0,0.2213726231133169
79,-3.0,-5.773502691896257,0.0,0.2213726231133169
80,-2.5,-5.484827557301444,0.0,-0.2527016665624138
81,-2.0,-5.773502691896257,0.0,-0.1722214580045824
82,-1.5,-5.484827557301444,0.0,-0.5621181146744824
83,-1.0,-5.773502691896257,0.0,-0.4111543421461787
84,-0.5,-5.484827557301444,0.0,-0.7001551404959907
85,0.0,-5.773502691896257,0.0,-0.4879002265314794
86,0.5,-5.484827557301444,0.0,-0.7001551404959907
87,1.0,-5.773502691896257,0.0,-0.4111543421461787
88,1.5,-5.484827557301444,0.0,-0.5621181146744824
89,2.0,-5.773502691896257,0.0,-0.1722214580045824
90,2.5,-5.484827557301444,0.0,-0.2527016665624138
91,3.0,-5.773502691896257,0.0,0.2213726231133169
92,3.5,-5.484827557301444,0.0,0.2213726231133169
93,4.0,-5.773502691896257,0.0,0.6747189599516219
94,4.5,-5.484827557301444,0.0,0.7252611098245162
95,5.0,-5.773502691896257,0.0,0.9766863095312832
96,5.5,-5.484827557301444,0.0,0.9962587731268502
97,6.0,-5.773502691896257,0.0,0.8903502763850095
98,6.5,-5.484827557301444,0.0,0.7955273481733803
99,7.0,-5.773502691896257,0.0,0.3438428633026369
100,7.5,-5.484827557301444,0.0,0.1328111473399414
101,8.0,-5.773502691896257,0.0,-0.4268329381289483
102,-8.5,-4.907477288111819,0.0,-0.3803517624264542
103,-8.0,-4.618802153517006,0.0,0.1860826603459788
104,-7.5,-4.907477288111819,0.0,0.445642213824493
105,-7.0,-4.618802153517006,0.0,0.8615326985001605
106,-6.5,-4.907477288111819,0.0,0.9580875508414836
107,-6.0,-4.618802153517006,0.0,0.9604719039070568
108,-5.5,-4.907477288111819,0.0,0.8856674334417155
109,-5.0,-4.618802153517006,0.0,0.500065126100664
110,-4.5,-4.907477288111819,0.0,0.3664054123534842
111,-4.0,-4.618802153517006,0.0,-0.1722214580045824
112,-3.5,-4.907477288111819,0.0,-0.2527016665624138
113,-3.0,-4.618802153517006,0.0,-0.7001551404959901
114,-2.5,-4.907477288111819,0.0,-0.7001551404959901
115,-2.0,-4.618802153517006,0.0,-0.9489727469008729
116,-1.5,-4.907477288111819,0.0,-0.9134097851703864
117,-1.0,-4.618802153517006,0.0,-0.999909863944486
118,-0.5,-4.907477288111819,0.0,-0.9757895506470776
119,0.0,-4.618802153517006,0.0,-0.9956239482862392
120,0.5,-4.907477288111819,0.0,-0.9757895506470776
121,1.0,-4.618802153517006,0.0,-0.999909863944486
122,1.5,-4.907477288111819,0.0,-0.9134097851703864
123,2.0,-4.618802153517006,0.0,-0.9489727469008729
124,2.5,-4.907477288111819,0.0,-0.7001551404959901
125,3.0,-4.618802153517006,0.0,-0.7001551404959901
126,3.5,-4.907477288111819,0.0,-0.2527016665624138
127,4.0,-4.618802153517006,0.0,-0.1722214580045824
128,4.5,-4.907477288111819,0.0,0.3664054123534842
129,5.0,-4.618802153517006,0.0,0.500065126100664
130,5.5,-4.907477288111819,0.0,0.8856674334417155
131,6.0,-4.618802153517006,0.0,0.9604719039070568
132,6.5,-4.907477288111819,0.0,0.9580875508414836
133,7.0,-4.618802153517006,0.0,0.8615326985001605
134,7.5,-4.907477288111819,0.0,0.445642213824493
135,8.0,-4.618802153517006,0.0,0.1860826603459788
136,-8.0,-4.04145188432738,0.0,0.445642213824493
137,-8.5,-3.752776749732567,0.0,0.1328111473399414
138,-7.5,-3.752776749732567,0.0,0.8615326985001605
139,-7.0,-4.04145188432738,0.0,0.973911558424427
140,-6.5,-3.752776749732567,0.0,0.9399105413732366
141,-6.0,-4.04145188432738,0.0,0.813992616737126
142,-5.5,-3.752776749732567,0.0,0.3664054123534842
143,-5.0,-4.04145188432738,0.0,0.1453979650238486
144,-4.5,-3.752776749732567,0.0,-0.4111543421461787
145,-4.0,-4.04145188432738,0.0,-0.5621181146744824
146,-3.5,-3.752776749732567,0.0,-0.9134097851703864
147,-3.0,-4.04145188432738,0.0,-0.9489727469008729
148,-2.5,-3.752776749732567,0.0,-0.979438081475241
149,-2.0,-4.04145188432738,0.0,-0.979438081475241
150,-1.5,-3.752776749732567,0.0,-0.7832393982898328
151,-1.0,-4.04145188432738,0.0,-0.8530170466697405
152,-0.5,-3.752776749732567,0.0,-0.6006758934973532
153,0.0,-4.04145188432738,0.0,-0.7832393982898328
154,0.5,-3.752776749732567,0.0,-0.6006758934973532
155,1.0,-4.04145188432738,0.0,-0.8530170466697405
156,1.5,-3.752776749732567,0.0,-0.7832393982898328
157,2.0,-4.04145188432738,0.0,-0.979438081475241
158,2.5,-3.752776749732567,0.0,-0.979438081475241
159,3.0,-4.04145188432738,0.0,-0.9489727469008729
160,3.5,-3.752776749732567,0.0,-0.9134097851703864
161,4.0,-4.04145188432738,0.0,-0.5621181146744824
162,4.5,-3.752776749732567,0.0,-0.4111543421461787
163,5.0,-4.04145188432738,0.0,0.1453979650238486
164,5.5,-3.752776749732567,0.0,0.3664054123534842
165,6.0,-4.04145188432738,0.0,0.813992616737126
166,6.5,-3.752776749732567,0.0,0.9399105413732366
167,7.0,-4.04145188432738,0.0,0.973911558424427
168,7.5,-3.752776749732567,0.0,0.8615326985001605
169,8.0,-4.04145188432738,0.0,0.445642213824493
170,-8.5,-3.1754264805429417,0.0,0.3438428633026369
171,-8.0,-2.8867513459481287,0.0,0.7955273481733803
172,-7.5,-3.1754264805429417,0.0,0.9580875508414836
173,-7.0,-2.8867513459481287,0.0,0.9604719039070568
174,-6.5,-3.1754264805429417,0.0,0.8139926167371265
175,-6.0,-2.8867513459481287,0.0,0.3664054123534842
176,-5.5,-3.1754264805429417,0.0,0.0676160250294372
177,-5.0,-2.8867513459481287,0.0,-0.4879002265314794
178,-4.5,-3.1754264805429417,0.0,-0.7001551404959901
179,-4.0,-2.8867513459481287,0.0,-0.9757895506470776
180,-3.5,-3.1754264805429417,0.0,-0.999909863944486
181,-3.0,-2.8867513459481287,0.0,-0.8530170466697405
