P1,P2,Weight
0,1,1000
0,18,1000
0,19,1000
18,19,1000
18,36,1000
18,37,1000
36,37,1000
36,54,1000
36,55,1000
54,55,1000
54,72,1000
54,73,1000
72,73,1000
72,90,1000
72,91,1000
90,91,1000
90,108,1000
90,109,1000
108,109,1000
108,126,1000
108,127,1000
126,127,1000
126,144,1000
126,145,1000
144,145,1000
144,162,1000
144,163,1000
162,163,1000
162,180,1000
162,181,1000
180,181,1000
180,198,1000
180,199,1000
198,199,1000
198,216,1000
198,217,1000
216,217,1000
216,234,1000
216,235,1000
234,235,1000
234,252,1000
234,253,1000
252,253,1000
252,270,1000
252,271,1000
270,271,1000
270,288,1000
270,289,1000
288,289,1000
288,306,1000
288,307,1000
306,307,1000
1,2,1000
1,19,1000
19,2,1000
19,20,1000
19,37,1000
37,20,1000
37,38,1000
37,55,1000
55,38,1000
55,56,1000
55,73,1000
73,56,1000
73,74,1000
73,91,1000
91,74,1000
91,92,1000
91,109,1000
109,92,1000
109,110,1000
109,127,1000
127,110,1000
127,128,1000
127,145,1000
145,128,1000
145,146,1000
145,163,1000
163,146,1000
163,164,1000
163,181,1000
181,164,1000
181,182,1000
181,199,1000
199,182,1000
199,200,1000
199,217,1000
217,200,1000
217,218,1000
217,235,1000
235,218,1000
235,236,1000
235,253,1000
253,236,1000
253,254,1000
253,271,1000
271,254,1000
271,272,1000
271,289,1000
289,272,1000
289,290,1000
289,307,1000
307,290,1000
307,308,1000
2,3,1000
2,20,1000
2,21,1000
20,21,1000
20,38,1000
20,39,1000
38,39,1000
38,56,1000
38,57,1000
56,57,1000
56,74,1000
56,75,1000
74,75,1000
74,92,1000
74,93,1000
92,93,1000
92,110,1000
92,111,1000
110,111,1000
110,128,1000
110,129,1000
128,129,1000
128,146,1000
128,147,1000
146,147,1000
146,164,1000
146,165,1000
164,165,1000
164,182,1000
164,183,1000
182,183,1000
182,200,1000
182,201,1000
200,201,1000
200,218,1000
200,219,1000
218,219,1000
218,236,1000
218,237,1000
236,237,1000
236,254,1000
236,255,1000
254,255,1000
254,272,1000
254,273,1000
272,273,1000
272,290,1000
272,291,1000
290,291,1000
290,308,1000
290,309,1000
308,309,1000
3,4,1000
3,21,1000
21,4,1000
21,22,1000
21,39,1000
39,22,1000
39,40,1000
39,57,1000
57,40,1000
57,58,1000
57,75,1000
75,58,1000
75,76,1000
75,93,1000
93,76,1000
93,94,1000
93,111,1000
111,94,1000
111,112,1000
111,129,1000
129,112,1000
129,130,1000
129,147,1000
147,130,1000
147,148,1000
147,165,1000
165,148,1000
165,166,1000
165,183,1000
183,166,1000
183,184,1000
183,201,1000
201,184,1000
201,202,1000
201,219,1000
219,202,1000
219,220,1000
219,237,1000
237,220,1000
237,238,1000
237,255,1000
255,238,1000
255,256,1000
255,273,1000
273,256,1000
273,274,1000
273,291,1000
291,274,1000
291,292,1000
291,309,1000
309,292,1000
309,310,1000
4,5,1000
4,22,1000
4,23,1000
22,23,1000
22,40,1000
22,41,1000
40,41,1000
40,58,1000
40,59,1000
58,59,1000
58,76,1000
58,77,1000
76,77,1000
76,94,1000
76,95,1000
94,95,1000
94,112,1000
94,113,1000
112,113,1000
112,130,1000
112,131,1000
130,131,1000
130,148,1000
130,149,1000
148,149,1000
148,166,1000
148,167,1000
166,167,1000
166,184,1000
166,185,1000
184,185,1000
184,202,1000
184,203,1000
202,203,1000
202,220,1000
202,221,1000
220,221,1000
220,238,1000
220,239,1000
238,239,1000
238,256,1000
238,257,1000
256,257,1000
256,274,1000
256,275,1000
274,275,1000
274,292,1000
274,293,1000
292,293,1000
292,310,1000
292,311,1000
310,311,1000
5,6,1000
5,23,1000
23,6,1000
23,24,1000
23,41,1000
41,24,1000
41,42,1000
41,59,1000
59,42,1000
59,60,1000
59,77,1000
77,60,1000
77,78,1000
77,95,1000
95,78,1000
95,96,1000
95,113,1000
113,96,1000
113,114,1000
113,131,1000
131,114,1000
131,132,1000
131,149,1000
149,132,1000
149,150,1000
149,167,1000
167,150,1000
167,168,1000
167,185,1000
185,168,1000
185,186,1000
185,203,1000
203,186,1000
203,204,1000
203,221,1000
221,204,1000
221,222,1000
221,239,1000
239,222,1000
239,240,1000
239,257,1000
257,240,1000
257,258,1000
257,275,1000
275,258,1000
275,276,1000
275,293,1000
293,276,1000
293,294,1000
293,311,1000
311,294,1000
311,312,1000
6,7,1000
6,24,1000
6,25,1000
24,25,1000
24,42,1000
24,43,1000
42,43,1000
42,60,1000
42,61,1000
60,61,1000
60,78,1000
60,79,1000
78,79,1000
78,96,1000
78,97,1000
96,97,1000
96,114,1000
96,115,1000
114,115,1000
114,132,1000
114,133,1000
132,133,1000
132,150,1000
132,151,1000
150,151,1000
150,168,1000
150,169,1000
168,169,1000
168,186,1000
168,187,1000
186,187,1000
186,204,1000
186,205,1000
204,205,1000
204,222,1000
204,223,1000
222,223,1000
222,240,1000
222,241,1000
240,241,1000
240,258,1000
240,259,1000
258,259,1000
258,276,1000
258,277,1000
276,277,1000
276,294,1000
276,295,1000
294,295,1000
294,312,1000
294,313,1000
312,313,1000
7,8,1000
7,25,1000
25,8,1000
25,26,1000
25,43,1000
43,26,1000
43,44,1000
43,61,1000
61,44,1000
61,62,1000
61,79,1000
79,62,1000
79,80,1000
79,97,1000
97,80,1000
97,98,1000
97,115,1000
115,98,1000
115,116,1000
115,133,1000
133,116,1000
133,134,1000
133,151,1000
151,134,1000
151,152,1000
151,169,1000
169,152,1000
169,170,1000
169,187,1000
187,170,1000
187,188,1000
187,205,1000
205,188,1000
205,206,1000
205,223,1000
223,206,1000
223,224,1000
223,241,1000
241,224,1000
241,242,1000
241,259,1000
259,242,1000
259,260,1000
259,277,1000
277,260,1000
277,278,1000
277,295,1000
295,278,1000
295,296,1000
295,313,1000
313,296,1000
313,314,1000
8,9,1000
8,26,1000
8,27,1000
26,27,1000
26,44,1000
26,45,1000
44,45,1000
44,62,1000
44,63,1000
62,63,1000
62,80,1000
62,81,1000
80,81,1000
80,98,1000
80,99,1000
98,99,1000
98,116,1000
98,117,1000
116,117,1000
116,134,1000
116,135,1000
134,135,1000
134,152,1000
134,153,1000
152,153,1000
152,170,1000
152,171,1000
170,171,1000
170,188,1000
170,189,1000
188,189,1000
188,206,1000
188,207,1000
206,207,1000
206,224,1000
206,225,1000
224,225,1000
224,242,1000
224,243,1000
242,243,1000
242,260,1000
242,261,1000
260,261,1000
260,278,1000
260,279,1000
278,279,1000
278,296,1000
278,297,1000
296,297,1000
296,314,1000
296,315,1000
314,315,1000
9,10,1000
9,27,1000
27,10,1000
27,28,1000
27,45,1000
45,28,1000
45,46,1000
