S1,S2,S3,Weight
0,1,36,1000
1,36,37,1000
36,37,72,1000
37,72,73,1000
72,73,108,1000
73,108,109,1000
108,109,144,1000
109,144,145,1000
144,145,180,1000
145,180,181,1000
180,181,216,1000
181,216,217,1000
216,217,252,1000
217,252,253,1000
252,253,288,1000
253,288,289,1000
288,289,324,1000
289,324,325,1000
324,325,360,1000
325,360,361,1000
360,361,396,1000
361,396,397,1000
396,397,432,1000
397,432,433,1000
432,433,468,1000
433,468,469,1000
468,469,504,1000
469,504,505,1000
504,505,540,1000
505,540,541,1000
540,541,576,1000
541,576,577,1000
576,577,612,1000
577,612,613,1000
612,613,648,1000
613,648,649,1000
648,649,684,1000
649,684,685,1000
684,685,720,1000
685,720,721,1000
720,721,756,1000
721,756,757,1000
756,757,792,1000
757,792,793,1000
792,793,828,1000
793,828,829,1000
828,829,864,1000
829,864,865,1000
864,865,900,1000
865,900,901,1000
900,901,936,1000
901,936,937,1000
936,937,972,1000
937,972,973,1000
972,973,1008,1000
973,1008,1009,1000
1008,1009,1044,1000
1009,1044,1045,1000
1044,1045,1080,1000
1045,1080,1081,1000
1080,1081,1116,1000
1081,1116,1117,1000
1116,1117,1152,1000
1117,1152,1153,1000
1152,1153,1188,1000
1153,1188,1189,1000
1188,1189,1224,1000
1189,1224,1225,1000
1224,1225,1260,1000
1225,1260,1261,1000
1,2,38,1000
1,37,38,1000
37,38,74,1000
37,73,74,1000
73,74,110,1000
73,109,110,1000
109,110,146,1000
109,145,146,1000
145,146,182,1000
145,181,182,1000
181,182,218,1000
181,217,218,1000
217,218,254,1000
217,253,254,1000
253,254,290,1000
253,289,290,1000
289,290,326,1000
289,325,326,1000
325,326,362,1000
325,361,362,1000
361,362,398,1000
361,397,398,1000
397,398,434,1000
397,433,434,1000
433,434,470,1000
433,469,470,1000
469,470,506,1000
469,505,506,1000
505,506,542,1000
505,541,542,1000
541,542,578,1000
541,577,578,1000
577,578,614,1000
577,613,614,1000
613,614,650,1000
613,649,650,1000
649,650,686,1000
649,685,686,1000
685,686,722,1000
685,721,722,1000
721,722,758,1000
721,757,758,1000
757,758,794,1000
757,793,794,1000
793,794,830,1000
793,829,830,1000
829,830,866,1000
829,865,866,1000
865,866,902,1000
865,901,902,1000
901,902,938,1000
901,937,938,1000
937,938,974,1000
937,973,974,1000
973,974,1010,1000
973,1009,1010,1000
1009,1010,1046,1000
1009,1045,1046,1000
