S1,S2,S3,Weight
0,1,2,24
0,2,3,25
4,5,6,21
4,6,7,29
7,5,4,24
8,9,10,24
8,10,11,22
11,9,8,21
12,3,13,26
14,3,12,21
12,15,16,20
14,12,16,26
14,0,3,26
17,18,19,20
19,20,17,29
21,15,22,23
15,12,22,23
21,9,15,21
11,15,9,20
23,24,25,24
25,5,23,25
6,5,25,27
26,27,28,21
26,28,22,28
19,26,20,23
27,26,19,24
22,20,26,25
28,21,22,24
27,21,28,27
29,30,31,23
31,32,29,28
17,31,30,23
31,33,32,27
17,20,31,27
20,33,31,29
34,35,36,24
34,24,35,22
22,12,13,22
13,33,20,25
13,20,22,25
13,34,36,28
25,24,34,29
13,3,34,29
3,25,34,25
2,25,3,24
37,25,2,23
38,24,39,27
39,40,38,20
39,24,23,24
39,23,40,21
41,32,33,22
41,33,13,29
41,13,36,20
42,43,6,20
6,25,42,23
37,43,42,23
37,42,25,28
44,16,15,29
45,16,44,23
11,45,44,27
44,15,11,23
1,37,2,21
19,18,27,21
46,0,14,28
46,14,16,21
23,5,47,23
0,46,1,26
21,48,9,25
45,11,10,26
6,43,7,22
5,7,47,23
1,43,37,29
16,45,46,23
10,9,48,22
38,40,49,24
47,40,23,28
21,27,48,27
1,46,50,26
51,45,10,26
7,43,52,21
7,52,47,24
51,10,48,24
1,53,43,28
50,53,1,27
54,46,45,27
27,18,55,26
56,55,18,25
47,57,40,27
50,46,54,27
51,58,45,27
43,59,52,24
49,40,60,24
61,48,27,26
61,27,55,27
52,59,62,27
52,62,47,28
63,58,51,25
51,48,63,25
60,64,49,23
57,47,62,25
43,53,59,26
61,55,65,28
60,40,57,22
66,58,63,28
63,48,66,25
54,45,67,28
67,45,58,25
65,55,56,22
68,53,50,27
62,69,57,28
59,69,62,27
61,70,48,23
68,50,54,20
53,71,59,24
66,48,70,21
68,71,53,27
66,72,58,26
58,72,67,27
67,73,54,28
74,59,71,29
69,59,74,28
54,73,68,26
75,64,60,21
69,76,57,27
60,57,76,25
77,61,65,25
68,78,71,26
78,74,71,26
79,72,66,27
66,70,79,27
77,70,61,24
69,74,80,28
80,76,69,29
75,60,81,27
68,73,82,22
68,82,78,21
67,83,73,20
84,79,70,28
72,79,84,23
80,74,85,28
85,76,80,27
72,83,67,22
60,76,86,23
77,87,70,21
86,81,60,24
84,70,87,29
74,88,85,28
82,73,83,23
88,74,78,27
89,72,84,26
84,87,89,29
86,76,90,27
90,76,85,24
77,91,87,25
92,78,82,26
83,72,93,23
85,88,94,20
85,94,90,26
86,95,81,27
89,93,72,23
92,88,78,27
83,96,82,21
97,81,95,27
82,98,92,24
89,87,99,21
94,100,90,26
88,100,94,27
93,96,83,23
86,101,95,29
92,102,88,23
86,90,101,28
103,93,89,21
103,89,99,29
96,98,82,22
98,104,92,28
95,105,97,22
99,87,91,27
88,102,100,26
101,105,95,23
106,93,103,26
106,103,99,27
100,107,90,28
92,104,102,29
108,96,93,26
97,105,109,20
100,102,107,22
110,101,90,23
98,96,111,27
99,91,112,29
113,90,107,21
111,104,98,21
114,93,106,29
115,106,99,21
107,102,116,26
117,102,104,27
110,90,113,20
118,109,105,22
108,93,114,22
111,96,119,27
119,96,108,27
227,243,241,26
244,234,231,26
244,231,241,24
245,233,230,27
238,235,224,23
245,230,242,26
246,228,236,23
246,243,228,25
232,235,247,21
237,233,245,20
247,240,232,26
242,240,248,28
248,245,242,21
241,243,249,29
241,249,244,22
238,234,244,25
250,235,238,20
247,235,250,24
248,240,251,25
248,251,245,28
249,243,252,24
252,244,249,23
239,253,236,21
246,236,253,21
244,254,238,21
238,254,250,23
251,240,247,29
252,243,246,25
29,254,244,25
246,253,255,27
252,29,244,25
251,247,256,23
252,246,255,24
250,256,247,22
250,254,257,27
29,32,254,28
255,258,252,24
255,253,259,29
257,254,32,26
30,29,252,21
252,258,30,27
256,250,260,24
260,250,257,20
258,255,261,22
261,255,56,23
255,259,56,20
258,261,262,28
262,30,258,21
262,261,17,20
262,17,30,23
56,18,261,25
261,18,17,20
56,259,65,25
263,264,265,28
265,266,267,20
264,201,266,26
264,266,265,28
268,269,270,27
268,270,271,27
271,269,268,23
168,141,267,23
272,267,141,28
264,263,273,21
264,164,163,22
273,164,264,25
272,141,190,29
190,189,272,27
166,164,274,24
166,274,207,22
274,269,207,27
164,269,274,28
270,164,273,26
269,164,270,24
168,267,266,27
168,266,201,27
275,267,272,29
272,276,275,20
265,267,275,29
275,276,265,20
163,201,264,21
273,263,277,28
263,265,278,27
270,273,277,26
271,270,277,23
271,207,269,25
263,278,277,20
276,278,265,25
272,189,276,22
277,279,271,29
271,279,207,28
277,278,280,20
276,189,281,21
277,280,279,28
222,207,279,29
282,189,209,24
283,278,276,23
189,282,281,29
276,281,283,29
209,220,284,25
284,282,209,20
283,280,278,24
279,280,285,20
279,285,222,27
286,281,282,22
284,287,282,24
220,287,284,23
221,288,220,28
285,280,289,25
285,289,222,25
290,280,283,25
287,286,282,24
289,291,222,20
289,280,290,23
283,281,292,23
