,X,Y,Z
0,0,0,0
1,0,1,0
2,1,1,0
3,0,1,0
4,0,0,0
5,1,0,1
6,0,1,0
7,0,1,1
8,1,1,1
9,0,1,0
10,0,0,1
11,1,0,0
12,0,1,0
13,1,0,0
14,1,0,1
15,0,1,1
16,1,1,1
17,0,1,0
18,0,1,0
19,1,1,1
20,1,0,1
21,0,0,1
22,0,1,0
23,0,1,1
24,1,1,1
25,0,1,0
26,1,1,0
27,1,1,0
28,0,1,0
29,0,1,1
30,0,1,1
31,1,0,1
32,0,1,1
33,1,0,0
34,0,0,1
35,1,1,1
36,1,1,0
37,0,0,0
38,1,0,0
39,0,1,0
40,0,0,1
41,1,0,0
42,0,1,1
43,0,0,1
44,0,0,1
45,0,1,1
46,1,1,0
47,1,0,0
48,0,0,1
49,1,0,1
50,0,0,0
51,1,1,0
52,0,0,0
53,0,0,1
54,1,0,0
55,1,1,0
56,1,0,0
57,0,0,0
58,0,1,0
59,1,1,0
60,1,0,0
61,1,0,1
62,0,1,1
63,0,1,0
64,1,1,0
65,0,0,1
66,1,1,1
67,0,1,1
68,0,1,1
69,1,0,0
70,0,1,0
71,0,0,1
72,1,1,0
73,0,0,1
74,1,0,1
75,0,1,0
76,1,0,0
77,1,0,1
78,1,1,0
79,1,0,0
80,0,0,0
81,0,0,1
82,1,0,1
83,1,0,1
84,1,1,0
85,0,0,1
86,0,1,0
87,0,0,0
88,0,0,0
89,0,1,1
90,1,1,1
91,1,1,0
92,1,0,1
93,0,0,1
94,0,0,1
95,1,1,0
96,1,1,1
97,0,0,0
98,1,1,0
99,0,0,1
100,0,1,1
101,1,0,1
102,1,0,1
103,0,1,1
104,1,0,0
105,1,1,1
106,0,1,0
107,1,0,1
108,0,1,1
109,0,1,1
110,1,1,1
111,0,0,0
112,1,1,1
113,0,1,1
114,1,0,0
115,1,1,0
116,0,1,1
117,1,1,0
118,1,1,1
119,1,0,1
120,0,1,1
121,0,1,1
122,0,0,0
123,0,0,1
124,1,0,0
125,0,0,1
126,1,0,0
127,0,0,1
128,0,0,1
129,0,1,1
130,0,0,1
131,1,0,0
132,0,1,0
133,0,0,1
134,0,0,0
135,0,0,1
136,1,1,1
137,0,0,0
138,1,1,0
139,0,1,0
140,0,0,0
141,1,0,0
142,1,0,0
143,1,1,0
144,0,1,1
145,1,0,1
146,1,0,0
147,1,0,0
148,0,0,0
149,1,1,1
150,1,0,1
151,0,0,0
152,0,0,0
153,1,0,1
154,0,0,0
155,0,0,1
156,0,1,0
157,1,0,0
158,0,0,1
159,1,0,1
160,1,1,1
161,0,0,0
162,1,1,0
163,0,0,1
164,0,0,1
165,1,0,0
166,1,0,1
167,1,0,1
168,0,1,0
169,1,0,1
170,1,0,1
171,1,1,1
172,0,0,1
173,1,0,1
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,1
178,0,0,1
179,1,0,0
180,1,0,0
181,1,0,1
182,1,1,1
183,1,0,0
184,0,0,0
185,1,1,0
186,0,1,1
187,1,1,1
188,0,0,1
189,0,0,1
190,1,1,1
191,1,1,0
192,1,0,1
193,0,1,1
194,0,1,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,1
199,1,0,1
200,0,0,0
201,1,0,0
202,0,1,1
203,1,1,0
204,0,0,1
205,1,1,1
206,0,0,0
207,0,1,0
208,1,1,0
209,1,0,1
210,1,1,0
211,1,1,1
212,1,0,0
213,0,0,1
214,0,0,1
215,1,1,1
216,0,1,0
217,1,0,1
218,0,1,0
219,1,1,1
220,1,0,1
221,0,1,1
222,1,0,0
223,1,1,0
224,1,0,1
225,0,0,0
226,0,0,0
227,0,1,1
228,0,0,0
229,0,0,1
230,0,1,1
231,0,0,1
232,1,1,1
233,1,1,1
234,0,1,0
235,0,1,1
236,1,1,1
237,0,0,1
238,1,1,0
239,0,0,1
240,1,1,0
241,1,0,1
242,0,1,0
243,0,0,0
244,1,1,1
245,0,0,0
246,1,1,1
247,1,1,0
248,0,1,0
249,1,0,1
250,1,1,1
251,1,1,0
252,1,0,1
253,1,1,1
254,1,0,1
255,1,0,0
256,0,1,1
257,0,0,0
258,1,1,1
259,0,1,0
260,1,0,0
261,1,1,1
262,1,1,0
263,0,0,0
264,1,1,1
265,1,0,0
266,1,0,1
267,0,1,1
268,0,1,1
269,1,1,1
270,1,1,1
271,1,0,1
272,1,0,1
273,1,0,1
274,1,1,0
275,1,0,0
276,1,1,0
277,1,1,0
278,0,1,1
279,0,0,0
280,0,0,1
281,0,0,0
282,0,0,1
283,1,0,0
284,1,0,0
285,1,0,1
286,1,1,0
287,0,1,0
288,0,0,0
289,0,1,1
290,0,0,0
291,1,0,1
292,1,1,0
293,1,0,1
294,1,1,1
295,0,0,1
296,0,0,1
297,1,1,1
298,1,1,0
299,1,1,0
300,0,0,1
301,0,0,0
302,1,0,1
303,0,0,0
304,0,0,0
305,0,1,0
306,0,1,0
307,0,1,0
308,0,1,0
309,0,0,0
310,0,1,0
311,0,0,0
312,1,0,1
313,0,0,1
314,1,1,0
315,0,0,0
316,0,1,1
317,0,1,1
318,1,0,0
319,1,1,0
320,0,0,1
321,0,0,1
322,1,0,1
323,1,1,1
324,1,1,0
325,1,0,1
326,0,1,0
327,0,1,0
328,0,0,1
329,1,0,1
330,1,0,0
331,1,0,1
332,0,0,1
333,0,1,1
334,0,1,0
335,0,0,1
336,1,0,1
337,0,0,0
338,1,1,0
339,1,1,0
340,0,0,1
341,1,1,0
342,0,0,0
343,1,0,0
344,0,0,1
345,1,1,0
346,0,0,1
347,1,1,1
348,1,1,1
349,1,1,1
350,0,1,0
351,0,1,1
352,1,0,1
353,0,1,1
354,1,0,0
355,1,1,1
356,0,1,0
357,0,1,1
358,0,0,0
359,0,0,1
360,1,1,1
361,1,0,1
362,1,1,0
363,0,0,0
364,1,0,0
365,0,0,0
366,0,0,1
367,1,0,0
368,0,0,1
369,0,0,0
370,1,1,0
371,1,1,0
372,0,1,1
373,1,1,0
374,0,0,1
375,1,0,1
376,0,0,1
377,0,0,1
378,0,1,0
379,1,1,1
380,0,0,0
381,0,1,0
382,1,1,0
383,0,0,1
384,0,1,1
385,1,0,1
386,1,0,1
387,0,1,1
388,0,1,1
389,0,0,0
390,0,1,0
391,1,1,0
392,1,1,0
393,1,0,1
394,0,0,1
395,0,0,1
396,0,1,0
397,1,1,1
398,0,0,0
399,0,1,0
400,0,0,0
401,1,0,1
402,1,1,1
403,0,1,1
404,0,0,1
405,1,0,1
406,0,0,1
407,0,0,1
408,1,1,1
409,0,1,0
410,0,0,1
411,0,1,1
412,1,1,1
413,0,1,0
414,1,1,0
415,0,0,0
416,1,0,1
417,1,0,1
418,1,1,0
419,1,1,1
420,1,0,1
421,1,1,1
422,0,1,0
423,0,1,1
424,0,0,0
425,1,1,0
426,1,0,1
427,0,1,1
428,1,0,1
429,0,1,1
430,1,1,1
431,1,1,0
432,1,0,0
433,1,0,0
434,0,0,1
435,1,1,0
436,0,1,0
437,0,1,0
438,1,1,0
439,1,1,0
440,1,1,0
441,1,0,1
442,1,0,0
443,0,0,1
444,1,1,0
445,1,0,0
446,0,1,1
447,1,0,0
448,0,0,1
449,0,0,1
450,0,0,0
451,0,0,1
452,0,1,1
453,1,1,0
454,1,1,0
455,0,1,1
456,0,0,1
457,1,0,0
458,0,1,1
459,0,1,1
460,0,0,1
461,1,0,0
462,0,0,0
463,0,1,1
464,1,0,1
465,1,1,0
466,0,1,0
467,0,0,0
468,0,0,1
469,1,1,1
470,1,1,1
471,0,1,0
472,0,0,0
473,1,0,1
474,0,1,0
475,0,1,0
476,0,0,1
477,0,0,1
478,0,0,0
479,1,0,0
480,0,1,0
481,0,1,0
482,1,1,0
483,0,0,0
484,1,1,1
485,0,1,1
486,1,1,0
487,0,1,1
488,0,0,1
489,0,0,0
490,1,1,0
491,0,1,0
492,0,1,0
493,0,0,1
494,1,0,1
495,0,0,0
496,0,0,0
497,0,1,0
498,0,0,0
499,1,1,0
500,0,1,1
501,0,0,1
502,0,1,1
503,0,0,0
504,0,0,1
505,0,0,0
506,0,1,1
507,0,0,1
508,1,1,1
509,0,1,1
510,0,1,0
511,0,1,1
512,0,0,0
513,0,0,0
514,1,1,0
515,1,0,0
516,0,0,0
517,1,0,0
518,0,1,0
519,0,1,1
520,1,1,1
521,1,1,0
522,1,1,1
523,0,0,1
524,0,1,1
525,0,0,1
526,0,1,0
527,1,0,1
528,0,1,0
529,1,0,1
530,1,1,1
531,0,1,1
532,0,0,1
533,0,1,1
534,0,1,1
535,1,0,0
536,0,0,0
537,1,1,1
538,0,0,0
539,1,1,0
540,1,0,1
541,1,1,1
542,0,0,1
543,1,0,1
544,0,0,0
545,0,1,0
546,0,0,1
547,0,1,1
548,0,1,0
549,0,0,0
550,1,0,0
551,1,0,0
552,0,1,1
553,1,0,1
554,0,0,1
555,0,0,1
556,1,1,0
557,0,1,0
558,0,0,0
559,0,1,1
560,0,1,1
561,0,1,1
562,0,1,1
563,1,1,1
564,0,0,1
565,1,1,1
566,1,0,0
567,1,1,1
568,1,1,1
569,1,0,1
570,1,1,1
571,0,1,1
572,0,0,0
573,1,0,0
574,0,0,1
575,1,1,0
576,0,0,1
577,0,1,1
578,0,0,1
579,1,1,0
580,1,0,0
581,1,1,0
582,0,0,0
583,1,1,0
584,1,1,0
585,0,0,1
586,0,0,1
587,0,0,0
588,0,1,1
589,1,1,1
590,1,0,1
591,1,0,0
592,1,1,1
593,0,0,0
594,1,0,1
595,0,0,1
596,1,1,1
597,0,1,1
598,0,0,1
599,0,0,1
600,1,1,1
601,1,1,0
602,1,1,1
603,1,0,1
604,1,0,0
605,0,0,1
606,1,1,0
607,0,1,1
608,0,0,1
609,1,0,0
610,1,1,1
611,1,1,0
612,0,1,0
613,0,0,1
614,0,0,1
615,0,0,0
616,1,0,0
617,1,1,1
618,1,0,0
619,1,0,0
620,1,1,0
621,1,1,0
622,1,1,1
623,0,0,0
624,0,0,0
625,0,0,0
626,1,1,1
627,1,1,1
628,1,0,0
629,0,0,1
630,0,0,1
631,0,0,1
632,1,0,1
633,1,1,0
634,0,1,0
635,0,0,0
636,0,1,0
637,1,1,0
638,1,0,1
639,0,1,0
640,0,0,1
641,1,0,0
642,0,1,0
643,0,1,0
644,0,1,1
645,1,0,1
646,1,0,0
647,1,1,1
648,0,0,0
649,1,0,1
650,1,1,0
651,0,0,1
652,0,1,1
653,0,1,1
654,1,1,1
655,0,0,0
656,1,1,1
657,0,1,1
658,0,0,1
659,1,0,1
660,1,1,1
661,0,0,0
662,0,1,1
663,1,0,1
664,1,0,1
665,1,1,0
666,0,0,0
667,1,0,0
668,0,0,1
669,1,0,0
670,1,1,1
671,1,0,0
672,0,0,0
673,0,0,1
674,1,0,0
675,0,1,0
676,0,1,1
677,0,0,1
