S1,S2,S3
115,114,139
140,141,142
143,141,140
142,141,144
145,146,147
148,149,147
147,146,148
147,150,145
147,151,150
147,149,152
147,152,151
153,154,155
153,155,156
156,154,153
157,158,143
157,143,140
140,158,157
159,160,161
159,161,162
162,160,159
163,164,165
166,165,164
167,165,166
168,144,141
168,169,144
170,171,146
172,146,171
170,146,173
148,146,172
148,172,174
161,160,152
156,171,175
175,176,156
175,171,170
170,176,175
177,152,178
161,152,177
177,179,161
142,144,180
142,180,181
177,182,179
178,182,177
183,184,185
186,184,183
187,186,183
183,185,187
184,171,155
184,155,185
184,186,171
188,141,143
188,143,189
190,141,188
188,189,190
151,152,191
191,192,151
191,160,192
152,160,191
193,178,165
193,165,194
193,194,195
194,167,195
165,167,194
144,196,197
144,169,196
198,196,169
199,200,163
163,200,201
163,165,199
165,178,199
182,178,193
193,202,182
203,187,204
196,187,203
187,196,186
197,196,203
203,204,197
173,146,145
145,205,173
180,197,206
144,197,180
172,186,198
174,172,198
198,186,196
186,172,171
174,149,148
174,200,149
149,200,199
156,155,171
198,169,174
168,201,169
169,201,174
174,201,200
199,152,149
199,178,152
140,142,181
150,151,192
145,150,205
167,166,207
170,173,208
182,202,179
180,206,181
208,176,170
187,185,204
195,202,193
158,140,181
143,158,189
162,161,179
162,192,160
192,205,150
207,195,167
154,156,176
185,155,154
173,205,208
204,206,197
158,181,209
158,209,189
162,179,210
162,210,192
154,176,211
211,185,154
207,212,195
192,213,205
214,192,210
210,179,215
176,208,216
215,179,202
211,217,185
211,176,216
204,185,218
219,202,195
220,181,206
221,206,204
209,181,220
214,213,192
222,212,207
185,217,218
195,212,219
211,223,217
211,216,223
224,208,205
219,215,202
220,206,221
210,215,225
225,214,210
224,216,208
224,205,213
204,218,221
226,212,222
225,215,227
225,227,214
219,228,215
229,217,223
223,216,229
218,217,230
231,213,214
224,232,216
229,230,217
219,212,226
229,216,232
221,218,233
224,213,234
233,218,230
231,234,213
231,214,227
227,215,228
224,235,232
219,236,228
237,221,233
224,234,238
219,226,239
229,232,240
227,241,231
239,236,219
229,240,242
242,230,229
227,228,243
227,243,241
244,234,231
244,231,241
245,233,230
238,235,224
245,230,242
246,228,236
246,243,228
232,235,247
237,233,245
247,240,232
242,240,248
248,245,242
241,243,249
241,249,244
238,234,244
250,235,238
247,235,250
248,240,251
248,251,245
249,243,252
252,244,249
239,253,236
246,236,253
244,254,238
238,254,250
251,240,247
252,243,246
29,254,244
246,253,255
252,29,244
251,247,256
252,246,255
250,256,247
250,254,257
29,32,254
255,258,252
255,253,259
257,254,32
30,29,252
252,258,30
256,250,260
260,250,257
258,255,261
261,255,56
255,259,56
258,261,262
262,30,258
262,261,17
262,17,30
56,18,261
261,18,17
56,259,65
263,264,265
265,266,267
264,201,266
264,266,265
268,269,270
268,270,271
271,269,268
168,141,267
272,267,141
264,263,273
264,164,163
273,164,264
272,141,190
190,189,272
166,164,274
166,274,207
274,269,207
164,269,274
270,164,273
269,164,270
168,267,266
168,266,201
275,267,272
272,276,275
265,267,275
275,276,265
163,201,264
273,263,277
263,265,278
270,273,277
271,270,277
271,207,269
263,278,277
276,278,265
272,189,276
277,279,271
271,279,207
277,278,280
276,189,281
277,280,279
222,207,279
282,189,209
283,278,276
189,282,281
276,281,283
209,220,284
284,282,209
283,280,278
279,280,285
279,285,222
286,281,282
284,287,282
220,287,284
221,288,220
285,280,289
285,289,222
290,280,283
287,286,282
289,291,222
289,280,290
283,281,292
291,226,222
292,281,286
287,220,288
221,293,288
290,294,289
295,283,292
283,296,290
287,297,286
289,294,298
289,298,291
287,288,299
295,296,283
287,299,297
292,286,300
300,286,297
301,226,291
237,293,221
302,290,296
298,294,303
303,291,298
304,288,293
304,299,288
302,294,290
239,226,301
301,291,303
305,296,295
297,299,306
306,300,297
292,300,295
296,305,302
237,307,293
304,293,307
306,308,300
299,308,306
301,309,239
295,300,310
309,253,239
303,294,311
237,245,312
311,294,302
308,299,304
311,301,303
310,305,295
301,313,309
237,312,307
300,314,310
311,313,301
308,314,300
245,315,312
311,302,316
308,304,317
251,315,245
302,305,316
318,305,310
304,307,317
311,316,319
308,317,320
321,307,312
256,322,251
311,323,313
308,324,314
325,253,309
311,319,323
308,320,324
326,312,315
327,315,251
251,322,327
305,328,316
319,316,329
320,317,109
313,330,309
312,326,321
318,328,305
256,331,322
317,307,332
325,259,253
325,309,330
333,310,314
332,307,321
318,310,333
334,331,256
335,315,327
336,316,328
334,256,260
322,331,337
337,327,322
320,109,338
338,324,320
319,329,339
339,323,319
97,109,317
97,317,332
124,314,324
333,314,124
329,316,336
340,313,323
341,259,325
325,330,341
330,313,340
326,315,335
332,321,75
342,318,333
337,331,343
337,343,327
338,109,118
338,118,324
339,329,344
344,323,339
41,260,257
41,257,32
75,321,326
342,328,318
341,330,345
124,123,333
343,335,327
344,340,323
118,124,324
334,346,331
336,347,329
333,123,342
345,330,340
97,332,81
64,326,335
343,331,346
344,329,347
75,81,332
75,326,64
260,36,334
336,328,348
36,260,41
49,335,343
344,349,340
348,328,342
350,347,336
65,259,341
340,349,345
336,348,350
35,346,334
335,49,64
343,346,351
351,49,343
344,347,352
342,123,125
334,36,35
344,352,349
342,125,348
341,345,77
77,65,341
350,132,347
35,24,346
352,347,132
351,346,24
77,345,349
353,349,352
351,38,49
352,132,353
351,24,38
128,350,348
353,91,349
77,349,91
128,132,350
125,128,348
353,131,91
132,131,353
