S1,S2,S3
0,1,2
0,2,3
4,5,6
4,6,7
7,5,4
8,9,10
8,10,11
11,9,8
12,3,13
14,3,12
12,15,16
14,12,16
14,0,3
17,18,19
19,20,17
21,15,22
15,12,22
21,9,15
11,15,9
23,24,25
25,5,23
6,5,25
26,27,28
26,28,22
19,26,20
27,26,19
22,20,26
28,21,22
27,21,28
29,30,31
31,32,29
17,31,30
31,33,32
17,20,31
20,33,31
34,35,36
34,24,35
22,12,13
13,33,20
13,20,22
13,34,36
25,24,34
13,3,34
3,25,34
2,25,3
37,25,2
38,24,39
39,40,38
39,24,23
39,23,40
41,32,33
41,33,13
41,13,36
42,43,6
6,25,42
37,43,42
37,42,25
44,16,15
45,16,44
11,45,44
44,15,11
1,37,2
19,18,27
46,0,14
46,14,16
23,5,47
0,46,1
21,48,9
45,11,10
6,43,7
5,7,47
1,43,37
16,45,46
10,9,48
38,40,49
47,40,23
21,27,48
1,46,50
51,45,10
7,43,52
7,52,47
51,10,48
1,53,43
50,53,1
54,46,45
27,18,55
56,55,18
47,57,40
50,46,54
51,58,45
43,59,52
49,40,60
61,48,27
61,27,55
52,59,62
52,62,47
63,58,51
51,48,63
60,64,49
57,47,62
43,53,59
61,55,65
60,40,57
66,58,63
63,48,66
54,45,67
67,45,58
65,55,56
68,53,50
62,69,57
59,69,62
61,70,48
68,50,54
53,71,59
66,48,70
68,71,53
66,72,58
58,72,67
67,73,54
74,59,71
69,59,74
54,73,68
75,64,60
69,76,57
60,57,76
77,61,65
68,78,71
78,74,71
79,72,66
66,70,79
77,70,61
69,74,80
80,76,69
75,60,81
68,73,82
68,82,78
67,83,73
84,79,70
72,79,84
80,74,85
85,76,80
72,83,67
60,76,86
77,87,70
86,81,60
84,70,87
74,88,85
82,73,83
88,74,78
89,72,84
84,87,89
86,76,90
90,76,85
77,91,87
92,78,82
83,72,93
85,88,94
85,94,90
86,95,81
89,93,72
92,88,78
83,96,82
97,81,95
82,98,92
89,87,99
94,100,90
88,100,94
93,96,83
86,101,95
92,102,88
86,90,101
103,93,89
103,89,99
96,98,82
98,104,92
95,105,97
99,87,91
88,102,100
101,105,95
106,93,103
106,103,99
100,107,90
92,104,102
108,96,93
97,105,109
100,102,107
110,101,90
98,96,111
99,91,112
113,90,107
111,104,98
114,93,106
115,106,99
107,102,116
117,102,104
110,90,113
118,109,105
108,93,114
111,96,119
119,96,108
227,243,241
244,234,231
244,231,241
245,233,230
238,235,224
245,230,242
246,228,236
246,243,228
232,235,247
237,233,245
247,240,232
242,240,248
248,245,242
241,243,249
241,249,244
238,234,244
250,235,238
247,235,250
248,240,251
248,251,245
249,243,252
252,244,249
239,253,236
246,236,253
244,254,238
238,254,250
251,240,247
252,243,246
29,254,244
246,253,255
252,29,244
251,247,256
252,246,255
250,256,247
250,254,257
29,32,254
255,258,252
255,253,259
257,254,32
30,29,252
252,258,30
256,250,260
260,250,257
258,255,261
261,255,56
255,259,56
258,261,262
262,30,258
262,261,17
262,17,30
56,18,261
261,18,17
56,259,65
263,264,265
265,266,267
264,201,266
264,266,265
268,269,270
268,270,271
271,269,268
168,141,267
272,267,141
264,263,273
264,164,163
273,164,264
272,141,190
190,189,272
166,164,274
166,274,207
274,269,207
164,269,274
270,164,273
269,164,270
168,267,266
168,266,201
275,267,272
272,276,275
265,267,275
275,276,265
163,201,264
273,263,277
263,265,278
270,273,277
271,270,277
271,207,269
263,278,277
276,278,265
272,189,276
277,279,271
271,279,207
277,278,280
276,189,281
277,280,279
222,207,279
282,189,209
283,278,276
189,282,281
276,281,283
209,220,284
284,282,209
283,280,278
279,280,285
279,285,222
286,281,282
284,287,282
220,287,284
221,288,220
285,280,289
285,289,222
290,280,283
287,286,282
289,291,222
289,280,290
283,281,292
291,226,222
292,281,286
287,220,288
221,293,288
290,294,289
295,283,292
283,296,290
287,297,286
289,294,298
289,298,291
287,288,299
295,296,283
287,299,297
292,286,300
300,286,297
301,226,291
237,293,221
302,290,296
298,294,303
303,291,298
304,288,293
304,299,288
302,294,290
239,226,301
301,291,303
305,296,295
297,299,306
306,300,297
292,300,295
296,305,302
237,307,293
304,293,307
306,308,300
299,308,306
301,309,239
295,300,310
309,253,239
303,294,311
237,245,312
311,294,302
308,299,304
311,301,303
310,305,295
301,313,309
237,312,307
300,314,310
311,313,301
308,314,300
245,315,312
311,302,316
308,304,317
251,315,245
302,305,316
318,305,310
304,307,317
311,316,319
308,317,320
321,307,312
256,322,251
311,323,313
308,324,314
325,253,309
311,319,323
308,320,324
326,312,315
327,315,251
251,322,327
305,328,316
319,316,329
320,317,109
313,330,309
312,326,321
318,328,305
256,331,322
317,307,332
325,259,253
325,309,330
333,310,314
332,307,321
318,310,333
334,331,256
335,315,327
336,316,328
334,256,260
322,331,337
337,327,322
320,109,338
338,324,320
319,329,339
339,323,319
97,109,317
97,317,332
124,314,324
333,314,124
329,316,336
340,313,323
341,259,325
325,330,341
330,313,340
326,315,335
332,321,75
342,318,333
337,331,343
337,343,327
338,109,118
338,118,324
339,329,344
344,323,339
41,260,257
41,257,32
75,321,326
342,328,318
341,330,345
124,123,333
343,335,327
344,340,323
118,124,324
334,346,331
336,347,329
333,123,342
345,330,340
97,332,81
64,326,335
343,331,346
344,329,347
75,81,332
75,326,64
260,36,334
336,328,348
36,260,41
49,335,343
344,349,340
348,328,342
350,347,336
65,259,341
340,349,345
336,348,350
35,346,334
335,49,64
343,346,351
351,49,343
344,347,352
342,123,125
334,36,35
344,352,349
342,125,348
341,345,77
77,65,341
350,132,347
35,24,346
352,347,132
351,346,24
77,345,349
353,349,352
351,38,49
352,132,353
351,24,38
128,350,348
353,91,349
77,349,91
128,132,350
125,128,348
353,131,91
132,131,353
