P1,P2,Weight
0,1,0.6496369390800625
1,2,0.9999465167896046
0,2,0.8414709848078965
2,3,0.558090578462992
1,3,0.786749131547214
3,4,-0.3838307528661284
2,4,0.1411200080598672
4,5,-0.9829920494187225
3,5,-0.8313391791635062
5,6,-0.6892872535122487
4,6,-0.9589242746631385
6,7,0.23383200731917156
5,7,-0.19908366251892284
7,8,0.9436405744837582
6,8,0.6569865987187891
8,9,0.7895557688708903
7,9,0.9783888223346213
9,10,-0.08825585875765106
8,10,0.4121184852417566
10,11,-0.885291309340699
9,11,-0.5851764690934534
