P1,P2,Weight
0,1,23
0,2,24
4,5,25
4,6,28
7,5,28
8,9,29
8,10,21
11,9,26
12,3,26
14,3,21
12,15,27
14,12,23
14,0,24
17,18,23
19,20,28
21,15,23
15,12,24
21,9,28
11,15,25
23,24,22
25,5,26
6,5,24
26,27,23
26,28,28
19,26,28
27,26,28
22,20,24
28,21,22
27,21,23
29,30,26
31,32,24
17,31,24
31,33,28
17,20,28
20,33,27
34,35,28
34,24,26
22,12,24
13,33,21
13,20,23
13,34,24
25,24,24
13,3,26
3,25,28
2,25,24
37,25,27
38,24,27
39,40,24
39,24,27
39,23,29
41,32,25
41,33,28
41,13,26
42,43,25
6,25,21
37,43,29
37,42,27
44,16,23
45,16,26
11,45,21
44,15,24
1,37,27
19,18,27
46,0,21
46,14,27
23,5,26
0,46,26
21,48,27
45,11,26
6,43,28
5,7,27
1,43,28
16,45,27
10,9,22
38,40,29
47,40,24
21,27,25
1,46,23
51,45,26
7,43,27
7,52,21
51,10,21
1,53,28
50,53,22
54,46,25
27,18,25
56,55,22
47,57,23
50,46,23
51,58,22
43,59,22
49,40,22
61,48,24
61,27,26
52,59,23
52,62,29
63,58,25
51,48,29
60,64,27
57,47,26
43,53,23
61,55,27
60,40,21
66,58,29
63,48,22
54,45,29
67,45,24
65,55,28
68,53,25
62,69,26
59,69,28
61,70,29
68,50,29
53,71,29
66,48,23
68,71,29
66,72,22
58,72,21
67,73,28
74,59,25
69,59,26
54,73,22
75,64,25
69,76,26
60,57,23
77,61,23
68,78,25
78,74,23
79,72,25
66,70,25
77,70,23
69,74,21
80,76,22
75,60,27
68,73,24
68,82,22
67,83,28
84,79,29
72,79,27
80,74,28
85,76,24
72,83,29
60,76,28
77,87,27
86,81,27
84,70,22
74,88,28
82,73,26
88,74,22
89,72,29
84,87,29
86,76,27
90,76,27
77,91,29
92,78,23
83,72,24
85,88,29
85,94,27
86,95,26
89,93,28
92,88,22
83,96,29
97,81,27
82,98,26
89,87,22
94,100,28
88,100,27
93,96,21
86,101,24
92,102,25
86,90,23
103,93,25
103,89,21
96,98,27
98,104,22
95,105,29
99,87,29
88,102,28
101,105,23
106,93,25
106,103,26
100,107,21
92,104,27
108,96,24
97,105,29
100,102,27
110,101,21
98,96,28
99,91,28
113,90,22
111,104,25
114,93,29
115,106,29
107,102,26
117,102,26
110,90,23
118,109,28
108,93,29
111,96,23
119,96,25
115,99,28
120,102,22
121,105,29
122,123,29
125,123,24
125,122,29
125,127,26
125,129,22
125,126,26
110,130,21
126,130,26
131,132,24
131,112,24
116,102,25
133,130,21
133,102,21
133,120,29
121,101,24
134,122,23
134,135,25
101,135,25
135,110,23
101,110,23
134,126,22
118,105,27
121,122,24
119,108,29
128,127,25
136,127,26
119,136,25
110,113,21
130,113,22
136,132,28
112,132,24
112,136,26
114,115,23
114,136,21
117,127,24
129,130,22
117,129,23
117,104,29
137,127,23
137,104,21
111,127,28
118,122,27
138,116,22
138,113,21
107,116,29
139,114,23
139,106,28
1,2,22
2,3,26
5,6,28
6,7,21
5,4,25
9,10,23
10,11,26
9,8,25
3,13,25
3,12,26
15,16,22
12,16,28
0,3,28
18,19,21
20,17,25
15,22,27
12,22,21
9,15,24
15,9,24
24,25,28
5,23,28
5,25,26
27,28,28
28,22,26
26,20,27
26,19,27
20,26,29
21,22,22
21,28,23
30,31,22
32,29,29
31,30,25
33,32,25
20,31,24
33,31,24
35,36,21
24,35,27
12,13,27
33,20,24
20,22,21
34,36,27
24,34,28
3,34,28
25,34,29
25,3,27
25,2,23
24,39,27
40,38,29
24,23,24
23,40,21
32,33,21
33,13,24
13,36,23
43,6,22
25,42,25
43,42,21
42,25,26
16,15,27
16,44,23
45,44,22
15,11,21
37,2,22
18,27,28
0,14,29
14,16,24
5,47,27
46,1,21
48,9,28
11,10,23
43,7,29
7,47,23
43,37,29
45,46,25
9,48,25
40,49,23
40,23,24
27,48,24
46,50,28
45,10,28
43,52,24
52,47,29
10,48,24
53,43,24
53,1,24
46,45,28
18,55,21
55,18,22
57,40,29
46,54,23
58,45,25
59,52,24
40,60,24
48,27,22
27,55,27
59,62,22
62,47,21
58,51,22
48,63,26
64,49,23
47,62,21
53,59,27
55,65,23
40,57,29
58,63,27
