# S1,S2,S3,Weight
0.000000000000000000e+00,1.210000000000000000e+02,1.220000000000000000e+02,5.303530848724277158e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.220000000000000000e+02,5.303530848724277158e-01
0.000000000000000000e+00,1.100000000000000000e+01,1.320000000000000000e+02,5.303530848724277158e-01
0.000000000000000000e+00,1.210000000000000000e+02,1.320000000000000000e+02,5.303530848724277158e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,5.303530848724277158e-01
0.000000000000000000e+00,1.100000000000000000e+01,1.200000000000000000e+01,5.303530848724277158e-01
1.000000000000000000e+00,1.220000000000000000e+02,1.230000000000000000e+02,8.992421466037850974e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.230000000000000000e+02,9.564988329441633796e-01
1.000000000000000000e+00,1.200000000000000000e+01,1.330000000000000000e+02,8.048450557383632908e-01
1.000000000000000000e+00,1.220000000000000000e+02,1.330000000000000000e+02,8.048450557383632908e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01,9.564988329441633796e-01
1.000000000000000000e+00,1.200000000000000000e+01,1.300000000000000000e+01,8.992421466037850974e-01
2.000000000000000000e+00,1.230000000000000000e+02,1.240000000000000000e+02,9.691023529529764202e-01
2.000000000000000000e+00,3.000000000000000000e+00,1.240000000000000000e+02,9.027104598847135453e-01
2.000000000000000000e+00,1.300000000000000000e+01,1.340000000000000000e+02,9.995504915868927975e-01
2.000000000000000000e+00,1.230000000000000000e+02,1.340000000000000000e+02,9.995504915868927975e-01
2.000000000000000000e+00,3.000000000000000000e+00,1.400000000000000000e+01,9.027104598847135453e-01
2.000000000000000000e+00,1.300000000000000000e+01,1.400000000000000000e+01,9.691023529529764202e-01
3.000000000000000000e+00,1.240000000000000000e+02,1.250000000000000000e+02,5.580905784629920374e-01
3.000000000000000000e+00,4.000000000000000000e+00,1.250000000000000000e+02,3.711548518931081508e-01
3.000000000000000000e+00,1.400000000000000000e+01,1.350000000000000000e+02,7.333170520149349114e-01
3.000000000000000000e+00,1.240000000000000000e+02,1.350000000000000000e+02,7.333170520149349114e-01
3.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01,3.711548518931081508e-01
3.000000000000000000e+00,1.400000000000000000e+01,1.500000000000000000e+01,5.580905784629920374e-01
4.000000000000000000e+00,1.250000000000000000e+02,1.260000000000000000e+02,-1.461189377995898431e-01
4.000000000000000000e+00,5.000000000000000000e+00,1.260000000000000000e+02,-3.591197532773059420e-01
4.000000000000000000e+00,1.500000000000000000e+01,1.360000000000000000e+02,8.983248594575481139e-02
4.000000000000000000e+00,1.250000000000000000e+02,1.360000000000000000e+02,8.983248594575481139e-02
4.000000000000000000e+00,5.000000000000000000e+00,1.600000000000000000e+01,-3.591197532773059420e-01
4.000000000000000000e+00,1.500000000000000000e+01,1.600000000000000000e+01,-1.461189377995898431e-01
5.000000000000000000e+00,1.260000000000000000e+02,1.270000000000000000e+02,-7.767797556090366706e-01
