# S1,S2,S3,S4,Weight
0.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,4.200000000000000000e+01,3.395234089314163040e-01
1.000000000000000000e+00,1.400000000000000000e+01,1.500000000000000000e+01,5.700000000000000000e+01,7.654753808649581437e-01
1.400000000000000000e+01,4.200000000000000000e+01,5.600000000000000000e+01,5.700000000000000000e+01,7.654753808649581437e-01
1.000000000000000000e+00,4.200000000000000000e+01,4.300000000000000000e+01,5.700000000000000000e+01,7.654753808649581437e-01
1.000000000000000000e+00,1.400000000000000000e+01,4.200000000000000000e+01,5.700000000000000000e+01,6.387098106570061606e-01
1.000000000000000000e+00,4.300000000000000000e+01,4.400000000000000000e+01,5.700000000000000000e+01,9.258262666991546874e-01
1.600000000000000000e+01,4.400000000000000000e+01,5.700000000000000000e+01,5.800000000000000000e+01,9.978046670976938870e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000000e+01,4.400000000000000000e+01,9.898625330819047496e-01
1.000000000000000000e+00,1.500000000000000000e+01,1.600000000000000000e+01,5.700000000000000000e+01,9.258262666991546874e-01
1.000000000000000000e+00,1.600000000000000000e+01,4.400000000000000000e+01,5.700000000000000000e+01,9.703440150142714771e-01
2.000000000000000000e+00,3.000000000000000000e+00,1.600000000000000000e+01,4.400000000000000000e+01,9.685923677734660231e-01
3.000000000000000000e+00,1.600000000000000000e+01,1.700000000000000000e+01,5.900000000000000000e+01,7.529201327909669228e-01
1.600000000000000000e+01,4.400000000000000000e+01,5.800000000000000000e+01,5.900000000000000000e+01,9.134235880824576048e-01
3.000000000000000000e+00,4.400000000000000000e+01,4.500000000000000000e+01,5.900000000000000000e+01,7.529201327909669228e-01
3.000000000000000000e+00,1.600000000000000000e+01,4.400000000000000000e+01,5.900000000000000000e+01,8.738821951802462351e-01
3.000000000000000000e+00,4.500000000000000000e+01,4.600000000000000000e+01,5.900000000000000000e+01,4.491153976661856340e-01
1.800000000000000000e+01,4.600000000000000000e+01,5.900000000000000000e+01,6.000000000000000000e+01,2.389892436824712918e-02
3.000000000000000000e+00,4.000000000000000000e+00,1.800000000000000000e+01,4.600000000000000000e+01,1.279372117079852211e-01
3.000000000000000000e+00,1.700000000000000000e+01,1.800000000000000000e+01,5.900000000000000000e+01,4.491153976661856340e-01
3.000000000000000000e+00,1.800000000000000000e+01,4.600000000000000000e+01,5.900000000000000000e+01,2.811778749166006786e-01
4.000000000000000000e+00,5.000000000000000000e+00,1.800000000000000000e+01,4.600000000000000000e+01,-2.668777034450826036e-01
5.000000000000000000e+00,1.800000000000000000e+01,1.900000000000000000e+01,6.100000000000000000e+01,-6.523488540745348008e-01
1.800000000000000000e+01,4.600000000000000000e+01,6.000000000000000000e+01,6.100000000000000000e+01,-3.547909295230998183e-01
5.000000000000000000e+00,4.600000000000000000e+01,4.700000000000000000e+01,6.100000000000000000e+01,-6.523488540745348008e-01
5.000000000000000000e+00,1.800000000000000000e+01,4.600000000000000000e+01,6.100000000000000000e+01,-4.816887853328468139e-01
5.000000000000000000e+00,4.700000000000000000e+01,4.800000000000000000e+01,6.100000000000000000e+01,-8.938050343118084662e-01
2.000000000000000000e+01,4.800000000000000000e+01,6.100000000000000000e+01,6.200000000000000000e+01,-9.993951409637855665e-01
5.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+01,4.800000000000000000e+01,-9.946278131333479156e-01
5.000000000000000000e+00,1.900000000000000000e+01,2.000000000000000000e+01,6.100000000000000000e+01,-8.938050343118084662e-01
5.000000000000000000e+00,2.000000000000000000e+01,4.800000000000000000e+01,6.100000000000000000e+01,-9.621056353307761988e-01
6.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+01,4.800000000000000000e+01,-9.566261774516161553e-01
