P1,P2,Weight
0,1,-0.9051676553940884
0,18,-0.9849728375581176
0,19,-0.9981341034805156
18,19,-0.9533063523949376
18,36,-0.8681117572062235
18,37,-0.7877890570749095
36,37,-0.5334838726642068
36,54,-0.3998744149893112
36,55,-0.2297550545355595
54,55,0.0839083403920204
54,72,0.163905468572637
54,73,0.3738970633083062
72,73,0.6163272119803838
72,90,0.6163272119803838
72,91,0.7984871126234903
90,91,0.9181643334635528
90,108,0.8786996699526517
90,109,0.9814798511409966
108,109,0.9999914501190752
108,126,0.9814798511409962
108,127,0.9877664589825208
126,127,0.9589249443447918
126,144,0.9999914501190752
126,145,0.925898437284414
144,145,0.8984115613773841
144,162,0.9982153206001496
144,163,0.8830276192531095
162,163,0.8830276192531095
162,180,0.9999914501190752
162,181,0.8984115613773841
180,181,0.925898437284414
180,198,0.9814798511409962
180,199,0.9589249443447918
198,199,0.9877664589825208
198,216,0.8786996699526517
198,217,0.9999914501190752
216,217,0.9814798511409966
216,234,0.6163272119803838
216,235,0.9181643334635528
234,235,0.7984871126234903
234,252,0.163905468572637
234,253,0.6163272119803838
252,253,0.3738970633083062
252,270,-0.3998744149893112
252,271,0.0839083403920204
270,271,-0.2297550545355595
270,288,-0.8681117572062235
270,289,-0.5334838726642068
288,289,-0.7877890570749095
288,306,-0.9849728375581176
288,307,-0.9533063523949376
306,307,-0.9981341034805156
1,2,-0.9951698010316656
1,19,-0.9995584471545887
19,2,-0.87969575997167
19,20,-0.6342949941088823
19,37,-0.7071865412769704
37,20,-0.3042806746109479
37,38,0.0572496441321156
37,55,-0.0751511204618093
55,38,0.3994343662553819
55,56,0.6817135162782886
55,73,0.5470825314519259
73,56,0.8786996699526517
73,74,0.9814798511409962
73,91,0.9181643334635528
91,74,0.9957806905528952
91,92,0.9379999767747388
91,109,0.995780690552895
109,92,0.8303492934724779
109,110,0.6962663768365805
109,127,0.8830276192531098
127,110,0.5569244681683874
127,128,0.4292179343260667
127,145,0.7212035240830521
145,128,0.3251713981320959
145,146,0.252403239030284
145,163,0.6155129809391914
163,146,0.2151199880878155
163,164,0.2151199880878155
163,181,0.6155129809391914
181,164,0.252403239030284
181,182,0.3251713981320959
181,199,0.7212035240830521
199,182,0.4292179343260667
199,200,0.5569244681683874
199,217,0.8830276192531098
217,200,0.6962663768365805
217,218,0.8303492934724779
217,235,0.995780690552895
235,218,0.9379999767747388
235,236,0.9957806905528952
235,253,0.9181643334635528
253,236,0.9814798511409962
253,254,0.8786996699526517
253,271,0.5470825314519259
271,254,0.6817135162782886
271,272,0.3994343662553819
271,289,-0.0751511204618093
289,272,0.0572496441321156
289,290,-0.3042806746109479
289,307,-0.7071865412769704
307,290,-0.6342949941088823
307,308,-0.87969575997167
2,3,-0.8302455463505097
2,20,-0.5750391407209322
2,21,-0.5334838726642068
20,21,-0.1532379238071421
20,38,0.163905468572637
20,39,0.2435244837393342
38,39,0.5936443924712849
38,56,0.7804697960020524
38,57,0.8486754940427508
56,57,0.9814798511409962
56,74,0.9999914501190752
56,75,0.9877664589825208
74,75,0.8830276192531098
74,92,0.8303492934724779
74,93,0.6962663768365805
92,93,0.4623904909451666
92,110,0.4623904909451666
92,111,0.2151199880878155
110,111,-0.0182022588233763
110,128,0.1002188341819074
110,129,-0.2192127099952987
128,129,-0.3785898330448362
128,146,-0.1386344768643796
128,147,-0.494191001163918
146,147,-0.5681672268584413
146,164,-0.2192127099952987
146,165,-0.6039688631641295
164,165,-0.6039688631641295
164,182,-0.1386344768643796
164,183,-0.5681672268584413
182,183,-0.494191001163918
182,200,0.1002188341819074
182,201,-0.3785898330448362
200,201,-0.2192127099952987
200,218,0.4623904909451666
200,219,-0.0182022588233763
218,219,0.2151199880878155
218,236,0.8303492934724779
218,237,0.4623904909451666
236,237,0.6962663768365805
236,254,0.9999914501190752
236,255,0.8830276192531098
254,255,0.9877664589825208
254,272,0.7804697960020524
254,273,0.9814798511409962
272,273,0.8486754940427508
272,290,0.163905468572637
272,291,0.5936443924712849
290,291,0.2435244837393342
290,308,-0.5750391407209322
290,309,-0.1532379238071421
308,309,-0.5334838726642068
3,4,-0.5121202140244393
3,21,-0.5121202140244393
21,4,-0.1013272832602712
21,22,0.3222215451127417
21,39,0.2961259884689873
39,22,0.6817135162782886
39,40,0.9181643334635528
39,57,0.8926180020541369
57,40,0.9999914501190752
57,58,0.9258984372844145
57,75,0.958924944344792
75,58,0.7212035240830527
75,76,0.4292179343260667
75,93,0.5569244681683874
93,76,0.1002188341819074
93,94,-0.2192127099952987
93,111,-0.0182022588233763
111,94,-0.494191001163918
111,112,-0.7055403255703919
111,129,-0.494191001163918
129,112,-0.8496696124064033
129,130,-0.9351702861596852
129,147,-0.7674527255292299
147,130,-0.977603638465729
147,148,-0.9940178111289956
147,165,-0.8738337560726113
165,148,-0.9983584016829592
165,166,-0.9983584016829592
165,183,-0.8738337560726113
183,166,-0.9940178111289956
183,184,-0.977603638465729
183,201,-0.7674527255292299
201,184,-0.9351702861596852
201,202,-0.8496696124064033
201,219,-0.494191001163918
219,202,-0.7055403255703919
219,220,-0.494191001163918
219,237,-0.0182022588233763
237,220,-0.2192127099952987
237,238,0.1002188341819074
237,255,0.5569244681683874
255,238,0.4292179343260667
255,256,0.7212035240830527
255,273,0.958924944344792
273,256,0.9258984372844145
273,274,0.9999914501190752
273,291,0.8926180020541369
291,274,0.9181643334635528
291,292,0.6817135162782886
291,309,0.2961259884689873
309,292,0.3222215451127417
309,310,-0.1013272832602712
4,5,-0.1532379238071421
4,22,0.3222215451127417
4,23,0.2961259884689873
22,23,0.6817135162782886
22,40,0.9297521640155444
22,41,0.9297521640155444
40,41,0.9982153206001496
40,58,0.8984115613773844
40,59,0.8830276192531098
58,59,0.6155129809391914
58,76,0.3251713981320959
58,77,0.252403239030284
76,77,-0.1386344768643796
76,94,-0.3785898330448362
76,95,-0.494191001163918
94,95,-0.7674527255292299
