S1,S2,S3,Weight
0,1,19,0
0,18,19,0
18,19,37,79
18,36,37,0
36,37,55,60
36,54,55,0
54,55,73,49
54,72,73,0
72,73,91,33
72,90,91,0
90,91,109,3
90,108,109,0
108,109,127,8
108,126,127,0
126,127,145,26
126,144,145,0
144,145,163,30
144,162,163,0
162,163,181,31
162,180,181,0
180,181,199,27
180,198,199,0
198,199,217,9
198,216,217,0
216,217,235,4
216,234,235,0
234,235,253,34
234,252,253,0
252,253,271,50
252,270,271,0
270,271,289,61
270,288,289,0
288,289,307,80
288,306,307,0
1,2,19,0
2,19,20,65
19,20,37,275
20,37,38,276
37,38,55,150
38,55,56,151
55,56,73,158
56,73,74,283
73,74,91,413
74,91,92,344
91,92,109,474
92,109,110,473
109,110,127,192
110,127,128,191
127,128,145,250
128,145,146,249
145,146,163,362
146,163,164,378
163,164,181,363
164,181,182,253
181,182,199,254
182,199,200,195
199,200,217,196
200,217,218,348
217,218,235,349
218,235,236,480
235,236,253,414
236,253,254,284
253,254,271,159
254,271,272,153
271,272,289,152
272,289,290,131
289,290,307,64
290,307,308,0
2,3,21,0
2,20,21,63
20,21,39,130
20,38,39,277
38,39,57,278
38,56,57,281
56,57,75,452
56,74,75,324
74,75,93,200
74,92,93,343
92,93,111,342
92,110,111,472
110,111,129,471
110,128,129,190
128,129,147,189
128,146,147,248
146,147,165,247
146,164,165,377
164,165,183,251
164,182,183,252
182,183,201,193
182,200,201,194
200,201,219,346
200,218,219,347
218,219,237,478
218,236,237,479
236,237,255,204
236,254,255,325
254,255,273,453
254,272,273,282
272,273,291,165
272,290,291,164
290,291,309,56
290,308,309,0
3,4,21,0
4,21,22,52
21,22,39,215
22,39,40,216
39,40,57,420
40,57,58,425
57,58,75,259
58,75,76,258
75,76,93,199
76,93,94,198
93,94,111,341
94,111,112,340
111,112,129,470
112,129,130,469
129,130,147,99
130,147,148,0
147,148,165,117
148,165,166,0
165,166,183,118
166,183,184,0
183,184,201,100
184,201,202,109
201,202,219,345
202,219,220,476
219,220,237,477
220,237,238,202
237,238,255,203
238,255,256,263
255,256,273,264
256,273,274,426
273,274,291,419
274,291,292,156
291,292,309,45
292,309,310,0
4,5,23,0
4,22,23,46
22,23,41,157
22,40,41,448
40,41,59,443
40,58,59,365
58,59,77,364
58,76,77,257
76,77,95,256
76,94,95,197
94,95,113,101
94,112,113,108
112,113,131,0
112,130,131,126
130,131,149,398
130,148,149,87
148,149,167,303
148,166,167,73
166,167,185,307
166,184,185,88
184,185,203,75
184,202,203,0
202,203,221,127
202,220,221,475
220,221,239,102
220,238,239,201
238,239,257,261
238,256,257,262
256,257,275,366
256,274,275,367
274,275,293,444
274,292,293,446
292,293,311,29
292,310,311,0
5,6,23,0
6,23,24,35
23,24,41,416
24,41,42,427
41,42,59,369
42,59,60,368
59,60,77,380
60,77,78,379
77,78,95,255
78,95,96,119
95,96,113,0
96,113,114,89
113,114,131,74
114,131,132,141
131,132,149,399
132,149,150,400
149,150,167,304
150,167,168,305
167,168,185,308
168,185,186,145
185,186,203,144
186,203,204,404
203,204,221,403
204,221,222,90
221,222,239,0
222,239,240,120
239,240,257,260
240,257,258,381
257,258,275,382
258,275,276,370
275,276,293,371
276,293,294,428
293,294,311,16
294,311,312,0
6,7,25,0
6,24,25,25
24,25,43,454
24,42,43,269
42,43,61,268
42,60,61,267
60,61,79,266
60,78,79,265
78,79,97,121
78,96,97,0
96,97,115,76
96,114,115,309
114,115,133,310
114,132,133,142
132,133,151,143
132,150,151,401
150,151,169,402
150,168,169,306
168,169,187,221
168,186,187,146
186,187,205,406
186,204,205,405
204,205,223,314
204,222,223,313
222,223,241,77
222,240,241,0
240,241,259,122
240,258,259,270
258,259,277,271
258,276,277,272
276,277,295,273
276,294,295,274
294,295,313,2
294,312,313,0
7,8,25,0
8,25,26,14
25,26,43,326
26,43,44,208
43,44,61,207
44,61,62,206
61,62,79,205
62,79,80,103
79,80,97,0
80,97,98,91
97,98,115,317
98,115,116,318
115,116,133,311
116,133,134,312
133,134,151,220
134,151,152,432
151,152,169,438
152,169,170,168
169,170,187,433
170,187,188,439
187,188,205,407
188,205,206,316
205,206,223,315
206,223,224,320
223,224,241,319
224,241,242,92
241,242,259,0
242,259,260,104
259,260,277,209
260,277,278,210
277,278,295,211
278,295,296,212
295,296,313,10
296,313,314,0
8,9,27,0
8,26,27,5
26,27,45,460
26,44,45,459
44,45,63,458
44,62,63,457
62,63,81,456
62,80,81,455
80,81,99,123
80,98,99,383
98,99,117,384
98,116,117,385
116,117,135,386
116,134,135,387
134,135,153,435
134,152,153,22
152,153,171,0
152,170,171,42
170,171,189,0
170,188,189,23
188,189,207,434
188,206,207,222
206,207,225,149
206,224,225,148
224,225,243,147
224,242,243,78
242,243,261,0
242,260,261,110
260,261,279,350
260,278,279,351
278,279,297,352
278,296,297,353
296,297,315,20
296,314,315,0
9,10,27,0
10,27,28,6
27,28,45,331
28,45,46,330
45,46,63,329
46,63,64,328
63,64,81,327
64,81,82,105
81,82,99,0
82,99,100,67
99,100,117,132
100,117,118,133
117,118,135,134
118,135,136,217
135,136,153,429
136,153,154,166
153,154,171,40
154,171,172,0
171,172,189,41
172,189,190,167
189,190,207,440
190,207,208,412
207,208,225,411
208,225,226,410
225,226,243,409
226,243,244,408
243,244,261,128
244,261,262,481
261,262,279,482
262,279,280,483
279,280,297,484
280,297,298,485
297,298,315,17
298,315,316,0
10,11,29,0
10,28,29,11
28,29,47,321
28,46,47,172
46,47,65,171
46,64,65,170
64,65,83,169
64,82,83,93
82,83,101,0
82,100,101,81
100,101,119,285
100,118,119,286
118,119,137,287
118,136,137,288
136,137,155,218
136,154,155,430
154,155,173,436
154,172,173,21
172,173,191,437
172,190,191,431
190,191,209,219
190,208,209,292
208,209,227,291
208,226,227,290
226,227,245,289
226,244,245,82
244,245,263,0
244,262,263,94
262,263,281,173
262,280,281,174
280,281,299,175
280,298,299,176
298,299,317,7
298,316,317,0
11,12,29,0
12,29,30,24
29,30,47,449
30,47,48,227
47,48,65,226
48,65,66,225
65,66,83,224
66,83,84,223
83,84,101,111
84,101,102,0
101,102,119,68
102,119,120,293
119,120,137,294
120,137,138,136
137,138,155,137
138,155,156,391
155,156,173,392
156,173,174,300
173,174,191,397
174,191,192,396
191,192,209,140
192,209,210,139
209,210,227,296
210,227,228,295
227,228,245,69
228,245,246,0
245,246,263,112
246,263,264,228
263,264,281,229
264,281,282,230
281,282,299,231
282,299,300,232
299,300,317,1
300,317,318,0
12,13,31,0
12,30,31,32
30,31,49,415
30,48,49,421
48,49,67,355
48,66,67,354
66,67,85,373
66,84,85,372
84,85,103,233
84,102,103,113
102,103,121,0
102,120,121,83
120,121,139,70
120,138,139,135
138,139,157,389
138,156,157,390
156,157,175,298
156,174,175,299
174,175,193,302
174,192,193,395
192,193,211,394
192,210,211,138
210,211,229,71
210,228,229,84
228,229,247,0
228,246,247,114
246,247,265,238
246,264,265,374
264,265,283,375
264,282,283,356
282,283,301,357
282,300,301,422
300,301,319,15
300,318,319,0
13,14,31,0
14,31,32,43
31,32,49,154
32,49,50,447
49,50,67,441
50,67,68,359
67,68,85,358
68,85,86,235
85,86,103,234
86,103,104,177
103,104,121,95
104,121,122,106
121,122,139,0
122,139,140,124
139,140,157,388
140,157,158,85
157,158,175,297
158,175,176,72
175,176,193,301
176,193,194,86
193,194,211,393
194,211,212,125
211,212,229,0
212,229,230,107
229,230,247,96
230,247,248,181
247,248,265,239
248,265,266,240
265,266,283,360
266,283,284,361
283,284,301,442
284,301,302,445
301,302,319,28
302,319,320,0
14,15,33,0
14,32,33,51
32,33,51,213
32,50,51,214
50,51,69,417
50,68,69,423
68,69,87,237
68,86,87,236
86,87,105,179
86,104,105,178
104,105,123,333
104,122,123,332
122,123,141,462
122,140,141,461
140,141,159,97
140,158,159,0
158,159,177,115
158,176,177,0
176,177,195,116
176,194,195,0
194,195,213,98
194,212,213,465
212,213,231,466
212,230,231,336
230,231,249,337
230,248,249,182
248,249,267,183
248,266,267,241
266,267,285,242
266,284,285,424
284,285,303,418
284,302,303,155
302,303,321,44
302,320,321,0
15,16,33,0
16,33,34,62
33,34,51,129
34,51,52,160
51,52,69,161
52,69,70,279
69,70,87,450
70,87,88,322
87,88,105,180
88,105,106,335
105,106,123,334
106,123,124,464
123,124,141,463
124,141,142,186
141,142,159,185
142,159,160,244
159,160,177,243
160,177,178,376
177,178,195,245
178,195,196,246
195,196,213,187
196,213,214,188
213,214,231,467
214,231,232,468
231,232,249,338
232,249,250,339
249,250,267,184
250,267,268,323
267,268,285,451
268,285,286,280
285,286,303,163
286,303,304,162
303,304,321,55
304,321,322,0
16,17,35,0
16,34,35,66
34,35,53,0
34,52,53,58
52,53,71,0
52,70,71,38
70,71,89,0
70,88,89,12
88,89,107,0
88,106,107,18
106,107,125,0
106,124,125,36
124,125,143,0
124,142,143,47
142,143,161,0
142,160,161,53
160,161,179,0
160,178,179,57
178,179,197,0
178,196,197,54
196,197,215,0
196,214,215,48
214,215,233,0
214,232,233,37
232,233,251,0
232,250,251,19
250,251,269,0
250,268,269,13
268,269,287,0
268,286,287,39
286,287,305,0
286,304,305,59
304,305,323,0
304,322,323,0
