P1,P2,Weight
0,1,-0.9051676553940884
0,18,-0.9849728375581176
0,19,1.0
18,19,3.0
18,36,-0.8681117572062235
18,37,4.0
36,37,6.0
36,54,-0.3998744149893112
36,55,7.0
54,55,9.0
54,72,0.163905468572637
54,73,10.0
72,73,12.0
72,90,0.6163272119803838
72,91,13.0
90,91,15.0
90,108,0.8786996699526517
90,109,16.0
108,109,18.0
108,126,0.9814798511409962
108,127,19.0
126,127,21.0
126,144,0.9999914501190752
126,145,22.0
144,145,24.0
144,162,0.9982153206001496
144,163,25.0
162,163,27.0
162,180,0.9999914501190752
162,181,28.0
180,181,30.0
180,198,0.9814798511409962
180,199,31.0
198,199,33.0
198,216,0.8786996699526517
198,217,34.0
216,217,36.0
216,234,0.6163272119803838
216,235,37.0
234,235,39.0
234,252,0.163905468572637
234,253,40.0
252,253,42.0
252,270,-0.3998744149893112
252,271,43.0
270,271,45.0
270,288,-0.8681117572062235
270,289,46.0
288,289,48.0
288,306,-0.9849728375581176
288,307,49.0
306,307,-0.9981341034805156
1,2,-0.9951698010316656
1,19,2.0
19,2,51.0
19,20,52.0
19,37,5.0
37,20,54.0
37,38,56.0
37,55,8.0
55,38,57.0
55,56,58.0
55,73,11.0
73,56,60.0
73,74,61.0
73,91,14.0
91,74,63.0
91,92,64.0
91,109,17.0
109,92,66.0
109,110,68.0
109,127,20.0
127,110,69.0
127,128,70.0
127,145,23.0
145,128,72.0
145,146,73.0
145,163,26.0
163,146,75.0
163,164,76.0
163,181,29.0
181,164,78.0
181,182,80.0
181,199,32.0
199,182,81.0
199,200,82.0
199,217,35.0
217,200,84.0
217,218,85.0
217,235,38.0
235,218,87.0
235,236,88.0
235,253,41.0
253,236,90.0
253,254,92.0
253,271,44.0
271,254,93.0
271,272,94.0
271,289,47.0
289,272,96.0
289,290,97.0
289,307,50.0
307,290,99.0
307,308,-0.87969575997167
2,3,-0.8302455463505097
2,20,53.0
2,21,101.0
20,21,103.0
20,38,55.0
20,39,104.0
38,39,106.0
38,56,59.0
38,57,107.0
56,57,109.0
56,74,62.0
56,75,110.0
74,75,112.0
74,92,65.0
74,93,113.0
92,93,115.0
92,110,67.0
92,111,116.0
110,111,118.0
110,128,71.0
110,129,119.0
128,129,121.0
128,146,74.0
128,147,122.0
146,147,124.0
146,164,77.0
146,165,125.0
164,165,127.0
164,182,79.0
164,183,128.0
182,183,130.0
182,200,83.0
182,201,131.0
200,201,133.0
200,218,86.0
200,219,134.0
218,219,136.0
218,236,89.0
218,237,137.0
236,237,139.0
236,254,91.0
236,255,140.0
254,255,142.0
254,272,95.0
254,273,143.0
272,273,145.0
272,290,98.0
272,291,146.0
290,291,148.0
290,308,100.0
290,309,149.0
308,309,-0.5334838726642068
3,4,-0.5121202140244393
3,21,102.0
21,4,151.0
21,22,152.0
21,39,105.0
39,22,154.0
39,40,155.0
39,57,108.0
57,40,157.0
57,58,158.0
57,75,111.0
75,58,160.0
75,76,162.0
75,93,114.0
93,76,163.0
93,94,164.0
93,111,117.0
111,94,166.0
111,112,167.0
111,129,120.0
129,112,169.0
129,130,170.0
129,147,123.0
147,130,172.0
147,148,174.0
147,165,126.0
165,148,175.0
165,166,176.0
165,183,129.0
183,166,178.0
183,184,179.0
183,201,132.0
201,184,181.0
201,202,182.0
201,219,135.0
219,202,184.0
219,220,186.0
219,237,138.0
237,220,187.0
237,238,188.0
237,255,141.0
255,238,190.0
255,256,191.0
255,273,144.0
273,256,193.0
273,274,194.0
273,291,147.0
291,274,196.0
291,292,198.0
291,309,150.0
309,292,199.0
309,310,-0.1013272832602712
4,5,-0.1532379238071421
4,22,153.0
4,23,201.0
22,23,203.0
22,40,156.0
22,41,204.0
40,41,206.0
40,58,159.0
40,59,207.0
58,59,209.0
58,76,161.0
58,77,210.0
76,77,212.0
76,94,165.0
76,95,213.0
94,95,215.0
94,112,168.0
94,113,216.0
112,113,218.0
112,130,171.0
112,131,219.0
130,131,221.0
130,148,173.0
130,149,222.0
148,149,224.0
148,166,177.0
148,167,225.0
166,167,227.0
166,184,180.0
166,185,228.0
184,185,230.0
184,202,183.0
184,203,231.0
202,203,233.0
202,220,185.0
202,221,234.0
220,221,236.0
220,238,189.0
220,239,237.0
238,239,239.0
238,256,192.0
238,257,240.0
256,257,242.0
256,274,195.0
256,275,243.0
274,275,245.0
274,292,197.0
274,293,246.0
292,293,248.0
292,310,200.0
292,311,249.0
310,311,0.2961259884689873
5,6,0.163905468572637
5,23,202.0
23,6,251.0
23,24,252.0
23,41,205.0
41,24,254.0
41,42,256.0
41,59,208.0
59,42,257.0
59,60,258.0
59,77,211.0
77,60,260.0
77,78,261.0
77,95,214.0
95,78,263.0
95,96,264.0
95,113,217.0
113,96,266.0
113,114,268.0
113,131,220.0
131,114,269.0
131,132,270.0
131,149,223.0
149,132,272.0
149,150,273.0
149,167,226.0
167,150,275.0
167,168,276.0
167,185,229.0
185,168,278.0
185,186,280.0
185,203,232.0
203,186,281.0
203,204,282.0
203,221,235.0
221,204,284.0
221,222,285.0
221,239,238.0
239,222,287.0
239,240,288.0
239,257,241.0
257,240,290.0
257,258,292.0
257,275,244.0
275,258,293.0
275,276,294.0
275,293,247.0
293,276,296.0
293,294,297.0
293,311,250.0
311,294,299.0
311,312,0.5936443924712849
6,7,0.3994343662553819
6,24,253.0
6,25,301.0
24,25,303.0
24,42,255.0
24,43,304.0
42,43,306.0
42,60,259.0
42,61,307.0
60,61,309.0
60,78,262.0
60,79,310.0
78,79,312.0
78,96,265.0
78,97,313.0
96,97,315.0
96,114,267.0
96,115,316.0
114,115,318.0
114,132,271.0
114,133,319.0
132,133,321.0
132,150,274.0
132,151,322.0
150,151,324.0
150,168,277.0
150,169,325.0
168,169,327.0
168,186,279.0
168,187,328.0
186,187,330.0
186,204,283.0
186,205,331.0
204,205,333.0
204,222,286.0
204,223,334.0
222,223,336.0
222,240,289.0
222,241,337.0
240,241,339.0
